t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw,eso_x,eso_y,eso_z,eso_vx,eso_vy,eso_vz,eso_roll,eso_pitch,eso_yaw,dist_x,dist_y,dist_z,imu_roll,imu_pitch,m1,m2,m3,m4,pid1,pid2,pid3,pid4,eso1,eso2,eso3,eso4
0.016,HOVER,0.0000,0.0000,0.0168,0.0000,0.0000,0.5000,0.4832,0.0000,-0.0000,0.0000,0.0162,-0.0000,0.0000,0.0002,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0001,0.0000,0.0000,467.6,467.6,467.6,467.6,467.6,467.6,467.6,467.6,-0.00,-0.00,-0.00,-0.00
0.024,HOVER,0.0000,0.0000,0.0174,0.0000,0.0000,0.5000,0.4826,0.0000,-0.0000,0.0000,0.0165,-0.0000,0.0000,0.0005,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0002,0.0000,0.0000,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,-0.00,-0.00,-0.00,-0.00
0.032,HOVER,0.0000,0.0000,0.0179,0.0000,0.0000,0.5000,0.4821,0.0000,-0.0000,0.0000,0.0169,-0.0000,0.0000,0.0009,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0003,0.0000,0.0000,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,-0.00,-0.00,-0.00,-0.00
0.040,HOVER,0.0000,0.0000,0.0184,0.0000,0.0000,0.5000,0.4816,0.0000,-0.0000,0.0000,0.0172,-0.0000,0.0000,0.0013,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0004,0.0000,0.0000,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,-0.00,-0.00,-0.00,-0.00
0.048,HOVER,0.0000,0.0000,0.0187,0.0000,0.0000,0.5000,0.4813,0.0000,-0.0000,0.0000,0.0176,-0.0000,0.0000,0.0017,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0005,0.0000,0.0000,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,-0.00,-0.00,-0.00,-0.00
0.056,HOVER,0.0000,0.0000,0.0189,0.0000,0.0000,0.5000,0.4811,0.0000,-0.0000,0.0000,0.0179,-0.0000,0.0000,0.0021,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0006,0.0000,0.0000,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,-0.00,-0.00,-0.00,-0.00
0.064,HOVER,0.0000,0.0000,0.0192,0.0000,0.0000,0.5000,0.4808,0.0000,-0.0000,0.0000,0.0183,-0.0000,0.0000,0.0024,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0007,0.0000,0.0000,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,-0.00,-0.00,-0.00,-0.00
0.072,HOVER,0.0000,0.0000,0.0193,0.0000,0.0000,0.5000,0.4807,0.0000,-0.0000,0.0000,0.0185,-0.0000,0.0000,0.0027,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0008,0.0000,0.0000,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,-0.00,-0.00,-0.00,-0.00
0.080,HOVER,0.0000,0.0000,0.0195,0.0000,0.0000,0.5000,0.4805,0.0000,-0.0000,0.0000,0.0188,-0.0000,0.0000,0.0029,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0009,0.0000,0.0000,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,-0.00,-0.00,-0.00,-0.00
0.088,HOVER,0.0000,0.0000,0.0196,0.0000,0.0000,0.5000,0.4804,0.0000,-0.0000,0.0000,0.0190,-0.0000,0.0000,0.0031,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0009,0.0000,0.0000,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,-0.00,-0.00,-0.00,-0.00
