t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.2,HOVER,0.0,0.0,0.019970777370342054,0.0,0.0,0.0009471862128493637,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48002922262965797,0.5341520000001765
0.36,HOVER,0.0,0.0,0.019989762560331123,0.0,0.0,1.4218767510141061e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48001023743966886,0.08530899958714144
0.52,HOVER,0.0,0.0,0.01999070058131757,0.0,0.0,5.392394621032442e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800092994186824,0.11480700050015002
0.68,HOVER,0.0,0.0,0.019991722930761815,0.0,0.0,7.1131006534017234e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800082770692382,0.05526199947780697
0.84,HOVER,0.0,0.0,0.01999303777451811,0.0,0.0,8.954894312891878e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800069622254819,0.10025400024460396
1.0,HOVER,0.0,0.0,0.019994647502517185,0.0,0.0,1.0798078166809845e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48000535249748283,0.04393800008983817
1.16,HOVER,0.0,0.0,0.019996552142197577,0.0,0.0,1.2641277981519263e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800034478578024,0.19386499934626045
1.32,HOVER,0.0,0.0,0.019998751693874307,0.0,0.0,1.448447797930929e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48000124830612567,0.030928999876778107
1.48,HOVER,0.0,0.0,0.023933881791992927,0.0,0.0,0.07723147834704763,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4760661182080071,1.9656149997899774
1.6400000000000001,HOVER,0.0,0.0,0.07334641902476084,0.0,0.0,0.5198292873601004,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.42665358097523914,1.2818839995816234
1.8,HOVER,0.0,0.0,0.221623235089123,0.0,0.0,1.1618531552627167,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.27837676491087704,2.57286599935469
1.96,HOVER,0.0,0.0,0.4370168548061816,0.0,0.0,1.4124427791906855,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.06298314519381842,2.1626730003845296
2.12,HOVER,0.0,0.0,0.6562622972757657,0.0,0.0,1.3103081075341279,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.15626229727576568,1.860223999756272
2.2800000000000002,HOVER,0.0,0.0,0.8500216710528793,0.0,0.0,1.1453688622364486,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.3500216710528793,1.6648000000714092
2.44,HOVER,0.0,0.0,1.0177954764583037,0.0,0.0,0.9846435711177821,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.5177954764583037,1.6050580006776727
2.6,HOVER,0.0,0.0,1.160250707458745,0.0,0.0,0.8280437537712886,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.6602507074587449,1.7505529995105462
2.7600000000000002,HOVER,0.0,0.0,1.2780372377122313,0.0,0.0,0.67546351882771,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.7780372377122313,1.186820999464544
2.92,HOVER,0.0,0.0,1.371788260009829,0.0,0.0,0.5267996922031701,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.871788260009829,0.43063600060122553
3.08,HOVER,0.0,0.0,1.4421207144378176,0.0,0.0,0.38195174807184906,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.9421207144378176,1.2292490000618272
3.24,HOVER,0.0,0.0,1.4896357055498655,0.0,0.0,0.24082174089088304,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,0.0,0.0,0.0,38.925724637681164,38.925724637681164,38.925724637681164,38.925724637681164,0.9896357055498655,1.4083870000831666
