t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
0.24,HOVER,0.0,0.0,0.01998340367452746,0.0,0.0,0.00031342579703667043,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.416221638911589e-17,-4.790145803910856e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.48001659632547256
0.4,HOVER,0.0,0.0,0.019989907521628582,0.0,0.0,6.958467113977322e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.4180691938955074e-17,-4.778014334610297e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800100924783714
0.56,HOVER,0.0,0.0,0.01999070224560329,0.0,0.0,5.30904043935616e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.418073727651717e-17,-4.777941480462304e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800092977543967
0.72,HOVER,0.0,0.0,0.01999172294986931,0.0,0.0,7.112143672643016e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.4180553167099436e-17,-4.778002315702205e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800082770501307
0.88,HOVER,0.0,0.0,0.019993037774737488,0.0,0.0,8.954883325880046e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.418034566419497e-17,-4.778061784067326e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800069622252625
1.04,HOVER,0.0,0.0,0.019994647502519704,0.0,0.0,1.0798078040794673e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.418011713337641e-17,-4.7781183350583624e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800053524974803
1.2,HOVER,0.0,0.0,0.019996552142197605,0.0,0.0,1.2641277980052235e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.417986760180267e-17,-4.778171950874186e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800034478578024
1.36,HOVER,0.0,0.0,0.019998751693874307,0.0,0.0,1.4484477979308128e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,3.4179597069785535e-17,-4.778222631310427e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.48000124830612567
1.52,HOVER,0.0,0.0,0.023933881791992927,0.0,0.0,0.07723147834704762,0.0,0.0,0.0,0.0,0.0,0.5,0.05,2.9127620833780286e-17,-7.779368630506969e-18,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4760661182080071
1.68,HOVER,0.0,0.0,0.07281929245246127,0.0,0.0,0.501485681330783,0.0,0.0,0.0,0.0,0.0,0.5,0.019823908977833427,-5.709976208361804e-19,-2.3997223318678007e-17,43.664709965925375,43.664709965925375,43.664709965925375,43.664709965925375,0.42718070754753873
1.84,HOVER,0.0,0.0,0.1853007173978694,0.0,0.0,0.7807001211133109,0.0,0.0,0.0,0.0,0.0,0.5,-0.04886557578544827,-2.5835250438755138e-17,-3.38713372149556e-17,33.12951291634229,33.12951291634229,33.12951291634229,33.12951291634229,0.3146992826021306
2.0,HOVER,0.0,0.0,0.3049309693229078,0.0,0.0,0.6761598796681119,0.0,0.0,0.0,0.0,0.0,0.5,-0.05,-2.7893775166865227e-17,-2.856447784122102e-17,32.95552147239264,32.95552147239264,32.95552147239264,32.95552147239264,0.1950690306770922
2.16,HOVER,0.0,0.0,0.3774424447378299,0.0,0.0,0.2937374967977893,0.0,0.0,0.0,0.0,0.0,0.5,-0.015897749560896395,-9.424798950646543e-18,-1.2785380344183236e-17,38.18592798145761,38.18592798145761,38.18592798145761,38.18592798145761,0.1225575552621701
2.32,HOVER,0.0,0.0,0.4044897881978071,0.0,0.0,0.13500499177399009,0.0,0.0,0.0,0.0,0.0,0.5,0.0028054207198202116,-1.541665798785355e-18,-6.266290630018177e-18,41.054512380340526,41.054512380340526,41.054512380340526,41.054512380340526,0.09551021180219288
2.48,HOVER,0.0,0.0,0.42632037969804154,0.0,0.0,0.13076280767719112,0.0,0.0,0.0,0.0,0.0,0.5,-0.0014145646899625785,-2.834051007629698e-18,-5.881971439027648e-18,40.40727535430022,40.40727535430022,40.40727535430022,40.40727535430022,0.07367962030195846
2.64,HOVER,0.0,0.0,0.4447721073722895,0.0,0.0,0.10481986961716652,0.0,0.0,0.0,0.0,0.0,0.5,-0.0014952172620747595,-2.5447941587178115e-18,-4.6768458492794854e-18,40.39490532790265,40.39490532790265,40.39490532790265,40.39490532790265,0.055227892627710495
2.8000000000000003,HOVER,0.0,0.0,0.4592539069937939,0.0,0.0,0.08165947417975088,0.0,0.0,0.0,0.0,0.0,0.5,-0.001122048466626141,-2.14479409107554e-18,-3.620793433549177e-18,40.45213980573218,40.45213980573218,40.45213980573218,40.45213980573218,0.040746093006206074
2.96,HOVER,0.0,0.0,0.47050188272306603,0.0,0.0,0.06335711968921909,0.0,0.0,0.0,0.0,0.0,0.5,-0.0007832883982060515,-1.814727214113188e-18,-2.788207360900881e-18,40.50409687144079,40.50409687144079,40.50409687144079,40.50409687144079,0.029498117276933966
3.12,HOVER,0.0,0.0,0.4792252066928252,0.0,0.0,0.04912953356727758,0.0,0.0,0.0,0.0,0.0,0.5,-0.000515377168908847,-1.5566893935306949e-18,-2.141188654562501e-18,40.545187550780845,40.545187550780845,40.545187550780845,40.545187550780845,0.0207747933071748
3.2800000000000002,CIRCLE,8.63194608989117e-06,8.631936481034088e-06,0.48565449785911935,0.00029794937269772223,0.00029794899186594905,0.030687964626342643,-0.0031156541697210344,0.0031156302459174555,-7.679588074343696e-06,0.020100774681476623,0.0004042045240927883,0.5,-0.0015220937160007246,-0.02,0.02,40.39078317239253,40.42850559337803,40.39078317239253,40.353060751407035,0.024690972217497532
3.44,CIRCLE,0.0016307651145119426,0.0013858910631469326,0.4889513828958139,0.02401253454679208,0.01862834124802792,0.016611556359401,-0.02246597999978914,0.04016694478725537,-0.000599603774022004,0.07013957697786599,0.0049440034285353485,0.5,3.5330092261084354e-05,0.009963344564291828,-0.017727756369457632,40.636974164911756,40.603537470466904,40.62232954437079,40.65576623881564,0.06948517400458952
3.6,CIRCLE,0.012691319222383271,0.007856550449957011,0.4910669571751856,0.10477114094748162,0.05561425564231995,0.011410746188526,-0.02509707254998636,0.0625566682453252,-0.0011654498269675915,0.11947011220805528,0.014482860972967637,0.5,0.00045222220198264367,0.0008526027532825486,-0.01633100858855458,40.70818943579484,40.67738717674009,40.67899528873972,40.70979754779447,0.10735649899626164
3.7600000000000002,CIRCLE,0.0382987695340779,0.02031520791316349,0.4926335324321785,0.19498955221310216,0.09234392252225224,0.009005651540268469,-0.024019119260729332,0.054498308581446234,-0.0009928971654846847,0.1675942423026834,0.028924454097870367,0.5,0.0005416072033239483,-5.737765158306515e-05,-0.00011805935248745828,40.70746716601432,40.70724449178453,40.70713627058813,40.70735894481791,0.1297909983117237
3.92,CIRCLE,0.07675110020478651,0.03840567519904334,0.49394724118819555,0.2679997078384276,0.12653646256487625,0.007739773653365164,-0.02298113651331803,0.04388615573711922,-0.0007674420814727548,0.21402601143047512,0.04812295208634226,0.5,0.0004985263420589109,0.0001230222395088713,-0.0009243227309122816,40.701449899103984,40.69970651454489,40.699938549380356,40.70168193393945,0.1377514523021772
4.08,CIRCLE,0.1250682911539356,0.06172203293293636,0.4950867685201249,0.32185022122462825,0.15814329968430976,0.006731943374038986,-0.02173718573661676,0.03183580564117284,-0.0005213707135156791,0.25829655316372185,0.07188448915772672,0.5,0.00044440182582563474,0.00010404457936361442,-0.0005819315577726149,40.69284359441599,40.691746001055634,40.69194224172684,40.6930398350872,0.13370559134996512
4.24,CIRCLE,0.1800173246522366,0.08982406164766611,0.4960764329780484,0.35487089748450734,0.18688789171571296,0.005828994742936162,-0.0202969275129763,0.018818077236043444,-0.0002705902867813846,0.299958825075544,0.09996912211768055,0.5,0.0003989567313319773,7.013542969321838e-05,-4.069891932767652e-05,40.68539505114308,40.68531828805466,40.6854505719649,40.68552733505332,0.12043371684835706
4.4,CIRCLE,0.23822173239579378,0.12223434656405387,0.49692514792274517,0.36686975473350236,0.21258578421749702,0.004956512160793007,-0.018738737353314824,0.006018816001785947,-4.300919051415754e-05,0.338592122959135,0.1320932532964012,0.5,0.0003729556583857622,4.7531637601017356e-05,0.0003616523866353514,40.68104903162976,40.681731151808705,40.6818208022309,40.68113868205195,0.10090028770569376
4.5600000000000005,CIRCLE,0.2964414247687156,0.15845723643488024,0.49763559036631305,0.35932763802768974,0.23516437482885685,0.004099427060285649,-0.017116176367779616,-0.005665910611536324,0.00014482387469258882,0.3738063290845535,0.16793249430826496,0.5,0.0003692650402649539,3.215029832867849e-05,0.0006496795887856442,40.68022586435523,40.68145123870293,40.681511878057336,40.68028650370964,0.07797883920963282
