t,mode,dist_enabled,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_lqr_0,u_lqr_1,u_lqr_2,du_dist_0,du_dist_1,du_dist_2,u_total_0,u_total_1,u_total_2,m1,m2,m3,m4,d_fx_raw,d_fy_raw,d_fz_raw,d_fx_filt,d_fy_filt,d_fz_filt,pos_error
0.16,HOVER,True,0.0,0.0,0.019932076625453654,0.0,0.0,0.0027102813754065268,0.0,0.0,0.0,0.0,0.0,0.5,0.07946790712247043,8.943131284833304e-17,-3.1044389314863995e-16,0.0,-0.0,-0.0,0.07946790712247043,8.943131284833304e-17,-3.1044389314863995e-16,52.81256244209669,52.81256244209669,52.81256244209669,52.81256244209669,0.0,0.0,-0.010039384282099842,0.0,0.0,-0.0013931500456618904,0.48006792337454635
0.24,HOVER,True,0.0,0.0,0.019983351031635167,0.0,0.0,0.0003079581960635536,0.0,0.0,0.0,0.0,0.0,0.5,0.0808655823158126,8.940495343373726e-17,-3.108125437945805e-16,0.0,-0.0,-0.0,0.0808655823158126,8.940495343373726e-17,-3.108125437945805e-16,53.02692980303874,53.02692980303874,53.02692980303874,53.02692980303874,0.0,0.0,-0.057826222742771535,0.0,0.0,-0.014382110700079009,0.4800166489683648
0.32,HOVER,True,0.0,0.0,0.019988984586273843,0.0,0.0,3.508778134009722e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.08089279214559214,8.94019948528494e-17,-3.108545407392123e-16,0.0,-0.0,-0.0,0.08089279214559214,8.94019948528494e-17,-3.108545407392123e-16,53.03110308981475,53.03110308981475,53.03110308981475,53.03110308981475,0.0,0.0,-0.14598858284468486,0.0,0.0,-0.05020088400296362,0.48001101541372615
0.4,HOVER,True,0.0,0.0,0.01998979359982502,0.0,0.0,6.574374654632727e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089560057940304,8.940164465994683e-17,-3.1085878648707426e-16,0.0,-0.0,-0.0,0.08089560057940304,8.940164465994683e-17,-3.1085878648707426e-16,53.03153383119679,53.03153383119679,53.03153383119679,53.03153383119679,0.0,0.0,-0.270316327269282,0.0,0.0,-0.11473012953859363,0.480010206400175
0.48,HOVER,True,0.0,0.0,0.019990151496998454,0.0,0.0,4.341449192391717e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089577394064584,8.940156237754837e-17,-3.1085892822888493e-16,0.0,-0.0,-0.0,0.08089577394064584,8.940156237754837e-17,-3.1085892822888493e-16,53.031560420344455,53.031560420344455,53.031560420344455,53.031560420344455,0.0,0.0,-0.42624713002263687,0.0,0.0,-0.2098080838635371,0.48000984850300155
0.56,HOVER,True,0.0,0.0,0.019990526885649167,0.0,0.0,4.9250415082406925e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089565448734422,8.94014965451736e-17,-3.1085858750074325e-16,0.0,-0.0,-0.0,0.08089565448734422,8.94014965451736e-17,-3.1085858750074325e-16,53.03154209928592,53.03154209928592,53.03154209928592,53.03154209928592,0.0,0.0,-0.6095563347723826,0.0,0.0,-0.3348647849934308,0.4800094731143508
0.64,HOVER,True,0.0,0.0,0.019990969976615654,0.0,0.0,5.810424318824558e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089549325056372,8.940142021498026e-17,-3.1085815244483947e-16,0.0,-0.0,-0.0,0.08089549325056372,8.940142021498026e-17,-3.1085815244483947e-16,53.031517369718365,53.031517369718365,53.031517369718365,53.031517369718365,0.0,0.0,-0.8164002837109331,0.0,0.0,-0.48800118323874014,0.48000903002338435
0.72,HOVER,True,0.0,0.0,0.01999148614993642,0.0,0.0,6.728143684996837e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089531712838516,8.940133049951051e-17,-3.10857664650796e-16,0.0,-0.0,-0.0,0.08089531712838516,8.940133049951051e-17,-3.10857664650796e-16,53.031490357114286,53.031490357114286,53.031490357114286,53.031490357114286,0.0,0.0,-1.0432933653536716,0.0,0.0,-0.666647223660412,0.4800085138500636
0.8,HOVER,True,0.0,0.0,0.019992075982076925,0.0,0.0,7.649327879231958e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0808951290029118,8.940122708937615e-17,-3.108571285749006e-16,0.0,-0.0,-0.0,0.0808951290029118,8.940122708937615e-17,-3.108571285749006e-16,53.03146150351408,53.03146150351408,53.03146150351408,53.03146150351408,0.0,0.0,-1.287080078546432,0.0,0.0,-0.867954338109484,0.4800079240179231
0.88,HOVER,True,0.0,0.0,0.019992739534804838,0.0,0.0,8.570883326122265e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.08089492918295799,8.940110995142655e-17,-3.108565446946399e-16,0.0,-0.0,-0.0,0.08089492918295799,8.940110995142655e-17,-3.108565446946399e-16,53.0314308562819,53.0314308562819,53.0314308562819,53.0314308562819,0.0,0.0,-1.5449084523649104,0.0,0.0,-1.0890252301828194,0.48000726046519515
