t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
0.24,HOVER,0.0,0.0,0.01998340367452746,0.0,0.0,0.00031342579703667043,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940498188704986e-17,-3.1081159509152007e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.48001659632547256
0.4,HOVER,0.0,0.0,0.019989907521628582,0.0,0.0,6.958467113977322e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940162612966289e-17,-3.1085864845973186e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800100924783714
0.56,HOVER,0.0,0.0,0.01999070224560329,0.0,0.0,5.30904043935616e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940146657141837e-17,-3.1085840970102446e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800092977543967
0.72,HOVER,0.0,0.0,0.01999172294986931,0.0,0.0,7.112143672643016e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940128908260533e-17,-3.1085744706169483e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800082770501307
0.88,HOVER,0.0,0.0,0.019993037774737488,0.0,0.0,8.954883325880046e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940105709136017e-17,-3.1085628731631755e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800069622252625
1.04,HOVER,0.0,0.0,0.019994647502519704,0.0,0.0,1.0798078040794673e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940077017781717e-17,-3.1085493651244935e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800053524974803
1.2,HOVER,0.0,0.0,0.019996552142197605,0.0,0.0,1.2641277980052235e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940042833715586e-17,-3.1085339471952183e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4800034478578024
1.36,HOVER,0.0,0.0,0.019998751693874307,0.0,0.0,1.4484477979308128e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.940003156932091e-17,-3.1085166193833193e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.48000124830612567
1.52,HOVER,0.0,0.0,0.023933881791992927,0.0,0.0,0.07723147834704762,0.0,0.0,0.0,0.0,0.0,0.5,0.05,8.9207420519218e-17,-2.9538650168599873e-16,48.29294478527607,48.29294478527607,48.29294478527607,48.29294478527607,0.4760661182080071
1.68,HOVER,0.0,0.0,0.07189233072424749,0.0,0.0,0.4773593966647357,0.0,0.0,0.0,0.0,0.0,0.5,0.01868063456992929,8.30749735021893e-17,-1.9739536875155037e-16,43.48936113035725,43.48936113035725,43.48936113035725,43.48936113035725,0.4281076692757525
1.84,HOVER,0.0,0.0,0.17164378558879112,0.0,0.0,0.6657057905100883,0.0,0.0,0.0,0.0,0.0,0.5,-0.016487627616279334,6.581422939277384e-17,-1.0128896723874825e-16,38.09545588707372,38.09545588707372,38.09545588707372,38.09545588707372,0.3283562144112089
2.0,HOVER,0.0,0.0,0.2661322062787418,0.0,0.0,0.5095012498051141,0.0,0.0,0.0,0.0,0.0,0.5,-0.01534139891187242,4.7122822685614225e-17,-6.622685588465919e-17,38.27125783560239,38.27125783560239,38.27125783560239,38.27125783560239,0.2338677937212582
2.16,HOVER,0.0,0.0,0.33120890488956406,0.0,0.0,0.349081220093386,0.0,0.0,0.0,0.0,0.0,0.5,-0.009110651731143941,3.3879833981130095e-17,-5.0917258856356715e-17,39.22689390626627,39.22689390626627,39.22689390626627,39.22689390626627,0.16879109511043594
2.32,HOVER,0.0,0.0,0.3767315236995133,0.0,0.0,0.24734127823934518,0.0,0.0,0.0,0.0,0.0,0.5,-0.005831089729080447,2.4689377930418628e-17,-3.84551940658805e-17,39.729894213331214,39.729894213331214,39.729894213331214,39.729894213331214,0.1232684763004867
