t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw
0.016,TAKEOFF,0.0,0.0,0.01679415406518603,0.0,0.0,0.5,0.48320584593481397,0.0
0.024,TAKEOFF,0.0,0.0,0.017433741003173645,0.0,0.0,0.5,0.48256625899682637,0.0
0.032,TAKEOFF,0.0,0.0,0.017945303415533985,0.0,0.0,0.5,0.48205469658446604,0.0
0.04,TAKEOFF,0.0,0.0,0.018354467786087365,0.0,0.0,0.5,0.48164553221391265,0.0
0.048,TAKEOFF,0.0,0.0,0.018681731070432698,0.0,0.0,0.5,0.4813182689295673,0.0
0.056,TAKEOFF,0.0,0.0,0.018943487390448974,0.0,0.0,0.5,0.481056512609551,0.0
0.064,TAKEOFF,0.0,0.0,0.01915284928989332,0.0,0.0,0.5,0.4808471507101067,0.0
0.07200000000000001,TAKEOFF,0.0,0.0,0.019320304601236116,0.0,0.0,0.5,0.4806796953987639,0.0
0.08,TAKEOFF,0.0,0.0,0.019454241828795363,0.0,0.0,0.5,0.48054575817120465,0.0
0.088,TAKEOFF,0.0,0.0,0.019561370366994735,0.0,0.0,0.5,0.48043862963300527,0.0
0.096,TAKEOFF,0.0,0.0,0.01964705660438526,0.0,0.0,0.5,0.48035294339561474,0.0
0.10400000000000001,TAKEOFF,0.0,0.0,0.019715592750406737,0.0,0.0,0.5,0.48028440724959326,0.0
0.112,TAKEOFF,0.0,0.0,0.019770411851641592,0.0,0.0,0.5,0.4802295881483584,0.0
0.12,TAKEOFF,0.0,0.0,0.019814259768701346,0.0,0.0,0.5,0.4801857402312987,0.0
0.128,TAKEOFF,0.0,0.0,0.019849332728848534,0.0,0.0,0.5,0.48015066727115147,0.0
0.136,TAKEOFF,0.0,0.0,0.019877387344989315,0.0,0.0,0.5,0.48012261265501066,0.0
0.14400000000000002,TAKEOFF,0.0,0.0,0.019899828612387482,0.0,0.0,0.5,0.4801001713876125,0.0
0.152,TAKEOFF,0.0,0.0,0.019917780291254735,0.0,0.0,0.5,0.48008221970874526,0.0
0.16,TAKEOFF,0.0,0.0,0.01993214120100059,0.0,0.0,0.5,0.4800678587989994,0.0
