t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw,d_fx_filt,d_fy_filt,d_fz_filt,eso_vx,eso_vy,eso_vz,eso_roll,eso_pitch,eso_yaw,dist_x,dist_y,dist_z,imu_roll,imu_pitch,m1,m2,m3,m4,pid1,pid2,pid3,pid4,eso1,eso2,eso3,eso4
0.016,HOVER,0.0000,0.0000,0.0168,0.0000,0.0000,0.5000,0.4832,0.0000,-0.0000,0.0000,0.0171,-0.0000,0.0000,0.0015,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0008,0.0000,0.0000,354.9,354.9,354.9,354.9,354.9,354.9,354.9,354.9,-0.00,-0.00,-0.00,-0.00
0.024,HOVER,0.0000,0.0000,0.0174,0.0000,0.0000,0.5000,0.4826,0.0000,-0.0000,0.0000,0.0176,-0.0000,0.0000,0.0021,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0011,0.0000,0.0000,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,-0.00,-0.00,-0.00,-0.00
0.032,HOVER,0.0000,0.0000,0.0179,0.0000,0.0000,0.5000,0.4821,0.0000,-0.0000,0.0000,0.0181,-0.0000,0.0000,0.0028,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0015,0.0000,0.0000,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,-0.00,-0.00,-0.00,-0.00
0.040,HOVER,0.0000,0.0000,0.0184,0.0000,0.0000,0.5000,0.4816,0.0000,-0.0000,0.0000,0.0184,-0.0000,0.0000,0.0033,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0018,0.0000,0.0000,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,-0.00,-0.00,-0.00,-0.00
0.048,HOVER,0.0000,0.0000,0.0187,0.0000,0.0000,0.5000,0.4813,0.0000,-0.0000,0.0000,0.0188,-0.0000,0.0000,0.0037,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000,0.0000,52.7,52.7,52.7,52.7,52.7,52.7,52.7,52.7,-0.00,-0.00,-0.00,-0.00
0.056,HOVER,0.0000,0.0000,0.0189,0.0000,0.0000,0.5000,0.4811,0.0000,-0.0000,0.0000,0.0190,-0.0000,0.0000,0.0040,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0021,0.0000,0.0000,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,-0.00,-0.00,-0.00,-0.00
0.064,HOVER,0.0000,0.0000,0.0192,0.0000,0.0000,0.5000,0.4808,0.0000,-0.0000,0.0000,0.0192,-0.0000,0.0000,0.0043,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0023,0.0000,0.0000,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,-0.00,-0.00,-0.00,-0.00
0.072,HOVER,0.0000,0.0000,0.0193,0.0000,0.0000,0.5000,0.4807,0.0000,-0.0000,0.0000,0.0194,-0.0000,0.0000,0.0045,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0024,0.0000,0.0000,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,-0.00,-0.00,-0.00,-0.00
0.080,HOVER,0.0000,0.0000,0.0195,0.0000,0.0000,0.5000,0.4805,0.0000,-0.0000,0.0000,0.0195,-0.0000,0.0000,0.0046,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0024,0.0000,0.0000,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,-0.00,-0.00,-0.00,-0.00
0.088,HOVER,0.0000,0.0000,0.0196,0.0000,0.0000,0.5000,0.4804,0.0000,-0.0000,0.0000,0.0196,-0.0000,0.0000,0.0047,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,-0.00,-0.00,-0.00,-0.00
0.096,HOVER,0.0000,0.0000,0.0196,0.0000,0.0000,0.5000,0.4804,0.0000,-0.0000,0.0000,0.0197,-0.0000,0.0000,0.0048,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,-0.00,-0.00,-0.00,-0.00
0.104,HOVER,0.0000,0.0000,0.0197,0.0000,0.0000,0.5000,0.4803,0.0000,-0.0000,0.0000,0.0197,-0.0000,0.0000,0.0048,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,-0.00,-0.00,-0.00,-0.00
0.112,HOVER,0.0000,0.0000,0.0198,0.0000,0.0000,0.5000,0.4802,0.0000,-0.0000,0.0000,0.0198,-0.0000,0.0000,0.0049,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,-0.00,-0.00,-0.00,-0.00
0.120,HOVER,0.0000,0.0000,0.0198,0.0000,0.0000,0.5000,0.4802,0.0000,-0.0000,0.0000,0.0198,-0.0000,0.0000,0.0049,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,-0.00,-0.00,-0.00,-0.00
0.128,HOVER,0.0000,0.0000,0.0198,0.0000,0.0000,0.5000,0.4802,0.0000,-0.0000,0.0000,0.0198,-0.0000,0.0000,0.0049,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,-0.00,-0.00,-0.00,-0.00
0.136,HOVER,0.0000,0.0000,0.0199,0.0000,0.0000,0.5000,0.4801,0.0000,-0.0000,0.0000,0.0199,-0.0000,0.0000,0.0049,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,-0.00,-0.00,-0.00,-0.00
0.144,HOVER,0.0000,0.0000,0.0199,0.0000,0.0000,0.5000,0.4801,0.0000,-0.0000,0.0000,0.0199,-0.0000,0.0000,0.0049,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,-0.00,-0.00,-0.00,-0.00
0.152,HOVER,0.0000,0.0000,0.0199,0.0000,0.0000,0.5000,0.4801,0.0000,-0.0000,0.0000,0.0199,-0.0000,0.0000,0.0049,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0025,0.0000,0.0000,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,-0.00,-0.00,-0.00,-0.00
