t,controller,scenario,mode,px,py,pz,vx,vy,yaw,ref_px,ref_py,ref_pz,ex,ey,ez,pos_error,wind_on
0.016,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.01679415406518603,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48320584593481397,0.48320584593481397,0
0.024,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.017433741003173645,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48256625899682637,0.48256625899682637,0
0.032,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.017945303415533985,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48205469658446604,0.48205469658446604,0
0.04,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.018354467786087365,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48164553221391265,0.48164553221391265,0
0.048,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.018681731070432698,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.4813182689295673,0.4813182689295673,0
0.056,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.018943487390448974,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.481056512609551,0.481056512609551,0
0.064,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.01915284928989332,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.4808471507101067,0.4808471507101067,0
0.07200000000000001,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.019320304601236116,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.4806796953987639,0.4806796953987639,0
0.08,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.019454241828795363,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48054575817120465,0.48054575817120465,0
0.088,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.019561370366994735,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48043862963300527,0.48043862963300527,0
0.096,PID,HOVER_NO_WIND,TAKEOFF,0.0,0.0,0.01964705660438526,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.48035294339561474,0.48035294339561474,0
