t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.023	-0.260	-0.237	0.000	0.87	2.84	-0.60	0.10	-0.12	-0.05	0	-0.260	-0.237	0.000	-0.000	-0.000	0.000
0.032	-0.260	-0.235	0.000	0.79	2.84	-0.60	-0.05	-0.22	-0.27	0	-0.260	-0.237	-0.001	0.000	0.000	0.000
0.044	-0.261	-0.236	0.000	0.84	2.86	-0.61	-0.10	0.21	-0.22	0	-0.260	-0.237	-0.002	-0.000	0.000	0.000
0.053	-0.261	-0.236	0.000	0.88	2.87	-0.61	0.10	-0.23	0.02	0	-0.260	-0.237	-0.004	-0.000	0.000	0.001
0.065	-0.260	-0.236	0.000	0.89	2.81	-0.60	-0.06	-0.18	-0.03	0	-0.260	-0.237	-0.007	-0.000	0.000	0.001
0.073	-0.260	-0.236	0.000	0.89	2.83	-0.60	0.13	-0.15	-0.02	0	-0.260	-0.237	-0.010	-0.000	0.000	0.002
0.082	-0.261	-0.236	0.000	0.90	2.85	-0.60	0.08	-0.01	0.32	0	-0.260	-0.237	-0.013	-0.000	0.000	0.003
0.089	-0.260	-0.237	0.000	0.92	2.82	-0.60	-0.00	-0.14	-0.14	0	-0.260	-0.237	-0.016	-0.000	0.000	0.004
0.104	-0.259	-0.237	0.000	0.93	2.77	-0.60	-0.11	-0.24	0.07	0	-0.260	-0.237	-0.020	-0.000	0.000	0.006
0.114	-0.260	-0.236	0.000	0.93	2.81	-0.60	0.04	-0.04	0.04	0	-0.260	-0.237	-0.024	-0.000	0.000	0.007
0.126	-0.259	-0.235	0.000	0.88	2.77	-0.60	-0.12	0.13	0.09	0	-0.260	-0.236	-0.028	-0.000	0.000	0.010
0.132	-0.260	-0.236	0.000	0.93	2.79	-0.60	-0.07	-0.26	0.09	0	-0.260	-0.236	-0.032	-0.000	0.000	0.012
0.144	-0.260	-0.236	0.000	0.94	2.78	-0.59	-0.18	-0.08	0.26	0	-0.260	-0.236	-0.036	-0.000	0.000	0.015
0.153	-0.260	-0.237	0.000	0.95	2.79	-0.59	0.07	-0.01	-0.02	0	-0.260	-0.236	-0.041	-0.000	0.000	0.018
0.164	-0.256	-0.232	0.000	0.74	2.58	-0.59	-0.07	-0.32	0.12	0	-0.260	-0.236	-0.045	0.000	0.000	0.021
0.173	-0.255	-0.231	-0.000	0.71	2.57	-0.59	0.16	0.12	-0.12	0	-0.259	-0.235	-0.049	0.000	0.001	0.025
0.184	-0.259	-0.233	0.000	0.83	2.75	-0.59	-0.20	-0.16	0.04	0	-0.259	-0.235	-0.053	0.000	0.001	0.029
0.190	-0.259	-0.234	0.000	0.88	2.76	-0.59	-0.05	0.34	0.16	0	-0.259	-0.235	-0.058	0.000	0.001	0.033
0.204	-0.260	-0.233	0.000	0.85	2.80	-0.59	-0.04	0.17	0.05	0	-0.259	-0.234	-0.062	0.000	0.001	0.038
0.214	-0.258	-0.233	0.000	0.86	2.70	-0.59	-0.16	-0.05	0.02	0	-0.259	-0.234	-0.066	0.000	0.001	0.043
0.225	-0.259	-0.234	0.000	0.92	2.76	-0.58	0.10	-0.08	0.17	0	-0.259	-0.234	-0.070	0.000	0.001	0.049
0.233	-0.259	-0.233	0.000	0.90	2.76	-0.58	-0.07	-0.16	0.03	0	-0.259	-0.234	-0.075	0.000	0.001	0.054
0.244	-0.259	-0.234	0.000	0.92	2.76	-0.58	0.19	0.22	0.01	0	-0.259	-0.234	-0.079	0.000	0.001	0.060
0.252	-0.258	-0.233	0.000	0.90	2.71	-0.58	-0.01	0.00	0.02	0	-0.259	-0.234	-0.083	0.000	0.001	0.067
0.258	-0.259	-0.233	0.000	0.92	2.75	-0.58	-0.12	-0.13	-0.12	0	-0.259	-0.234	-0.087	0.000	0.001	0.073
0.274	-0.259	-0.234	0.000	0.95	2.75	-0.58	0.25	-0.08	0.17	0	-0.259	-0.234	-0.091	0.000	0.001	0.080
0.282	-0.259	-0.234	0.000	0.97	2.75	-0.58	0.22	-0.14	-0.01	0	-0.259	-0.234	-0.095	0.000	0.001	0.087
0.291	-0.260	-0.233	0.000	0.91	2.78	-0.58	-0.02	-0.28	-0.03	0	-0.259	-0.234	-0.099	0.000	0.001	0.095
0.304	-0.258	-0.236	0.000	1.08	2.70	-0.57	-0.08	0.08	0.17	0	-0.259	-0.234	-0.103	0.000	0.001	0.103
0.315	-0.262	-0.237	0.000	1.10	2.90	-0.57	0.03	-0.52	-0.02	0	-0.259	-0.234	-0.107	0.000	0.001	0.111
0.325	-0.263	-0.236	0.000	1.06	2.93	-0.58	-0.02	-0.01	0.03	0	-0.260	-0.234	-0.111	0.000	0.001	0.119
0.333	-0.262	-0.237	0.000	1.14	2.88	-0.57	0.10	0.05	0.15	0	-0.260	-0.235	-0.115	-0.000	0.001	0.128
0.342	-0.261	-0.240	0.000	1.24	2.82	-0.56	-0.04	-0.21	0.08	0	-0.260	-0.235	-0.119	-0.000	0.000	0.137
0.351	-0.261	-0.239	0.000	1.18	2.81	-0.56	-0.13	0.22	0.04	0	-0.260	-0.236	-0.123	-0.000	0.000	0.147
0.363	-0.262	-0.240	0.000	1.22	2.85	-0.56	0.02	-0.38	0.06	0	-0.261	-0.236	-0.127	-0.000	0.000	0.156
0.374	-0.262	-0.239	0.000	1.17	2.84	-0.56	-0.10	-0.09	-0.01	0	-0.261	-0.237	-0.130	-0.000	0.000	0.166
0.383	-0.260	-0.239	0.000	1.15	2.75	-0.56	-0.07	-0.12	0.14	0	-0.261	-0.237	-0.134	-0.000	-0.000	0.176
0.391	-0.262	-0.241	0.000	1.23	2.82	-0.56	0.11	0.02	-0.07	0	-0.261	-0.237	-0.137	-0.000	-0.000	0.187
0.403	-0.262	-0.241	0.000	1.23	2.82	-0.56	0.04	0.14	-0.01	0	-0.261	-0.238	-0.141	-0.000	-0.000	0.197
0.413	-0.262	-0.241	0.000	1.22	2.83	-0.56	0.11	-0.04	0.08	0	-0.261	-0.238	-0.145	-0.000	-0.001	0.208
0.422	-0.262	-0.240	0.000	1.17	2.83	-0.56	0.08	-0.15	-0.17	0	-0.261	-0.238	-0.148	-0.000	-0.001	0.220
0.433	-0.262	-0.241	0.000	1.20	2.82	-0.56	0.10	0.11	-0.10	0	-0.261	-0.239	-0.151	-0.000	-0.001	0.231
0.443	-0.262	-0.239	0.000	1.10	2.82	-0.56	-0.13	0.11	-0.00	0	-0.261	-0.239	-0.155	-0.001	-0.001	0.243
0.449	-0.262	-0.242	0.000	1.23	2.82	-0.55	0.03	-0.12	0.07	0	-0.262	-0.239	-0.158	-0.001	-0.001	0.255
0.463	-0.262	-0.238	0.000	1.02	2.78	-0.56	-0.07	-0.31	-0.03	0	-0.262	-0.239	-0.161	-0.001	-0.001	0.267
0.471	-0.262	-0.238	0.000	1.04	2.78	-0.56	0.09	-0.22	0.02	0	-0.262	-0.239	-0.165	-0.001	-0.001	0.280
0.484	-0.262	-0.238	0.000	1.04	2.81	-0.56	0.03	0.02	-0.02	0	-0.262	-0.239	-0.168	-0.001	-0.001	0.292
0.491	-0.262	-0.238	0.000	1.06	2.80	-0.56	0.15	-0.01	-0.07	0	-0.262	-0.239	-0.171	-0.001	-0.001	0.305
0.500	-0.262	-0.244	0.000	1.31	2.77	-0.55	-0.11	-0.06	-0.08	0	-0.262	-0.239	-0.174	-0.001	-0.001	0.319
0.513	-0.262	-0.244	0.000	1.31	2.77	-0.55	0.10	-0.16	-0.00	0	-0.262	-0.240	-0.177	-0.001	-0.001	0.332
0.522	-0.262	-0.245	0.000	1.31	2.77	-0.55	-0.11	0.08	0.07	0	-0.262	-0.241	-0.180	-0.001	-0.001	0.346
0.534	-0.262	-0.245	0.000	1.30	2.81	-0.54	0.16	0.01	-0.02	0	-0.262	-0.241	-0.183	-0.001	-0.002	0.360
0.541	-0.261	-0.245	0.000	1.26	2.72	-0.55	0.25	-0.18	-0.08	0	-0.262	-0.242	-0.186	-0.001	-0.002	0.374
0.551	-0.261	-0.244	0.000	1.22	2.75	-0.55	-0.15	-0.16	0.11	0	-0.262	-0.242	-0.189	-0.000	-0.002	0.388
0.564	-0.262	-0.247	0.000	1.34	2.80	-0.54	-0.05	-0.16	0.07	0	-0.262	-0.243	-0.192	-0.001	-0.002	0.403
0.574	-0.262	-0.246	0.000	1.27	2.77	-0.54	0.00	0.04	0.02	0	-0.262	-0.243	-0.195	-0.001	-0.002	0.417
0.580	-0.261	-0.244	0.000	1.16	2.75	-0.55	-0.19	-0.00	0.03	0	-0.262	-0.243	-0.198	-0.000	-0.002	0.432
0.592	-0.261	-0.245	0.000	1.19	2.75	-0.55	0.00	-0.05	0.02	0	-0.262	-0.244	-0.200	-0.000	-0.002	0.448
0.600	-0.261	-0.240	0.000	0.97	2.72	-0.56	-0.14	-0.18	-0.23	0	-0.262	-0.243	-0.203	-0.000	-0.002	0.463
0.611	-0.260	-0.241	0.000	1.02	2.72	-0.56	-0.03	-0.36	0.14	0	-0.262	-0.243	-0.206	-0.000	-0.002	0.479
0.623	-0.261	-0.245	0.000	1.20	2.76	-0.55	0.22	0.10	-0.09	0	-0.262	-0.243	-0.208	-0.000	-0.002	0.495
0.632	-0.260	-0.245	0.000	1.18	2.72	-0.55	0.01	0.24	0.01	0	-0.261	-0.244	-0.211	-0.000	-0.002	0.511
0.643	-0.261	-0.244	0.000	1.10	2.73	-0.55	0.27	-0.05	0.02	0	-0.261	-0.244	-0.213	-0.000	-0.002	0.527
0.648	-0.261	-0.245	0.000	1.14	2.73	-0.55	-0.19	-0.16	-0.08	0	-0.261	-0.244	-0.216	-0.000	-0.002	0.543
0.661	-0.261	-0.244	0.000	1.08	2.74	-0.55	0.04	-0.26	-0.06	0	-0.261	-0.244	-0.218	-0.000	-0.002	0.560
0.674	-0.260	-0.245	0.000	1.12	2.72	-0.55	0.09	0.17	0.10	0	-0.261	-0.244	-0.221	-0.000	-0.002	0.577
0.681	-0.261	-0.245	0.000	1.14	2.75	-0.55	0.03	-0.25	0.07	0	-0.261	-0.244	-0.223	-0.000	-0.002	0.593
0.690	-0.261	-0.246	0.000	1.16	2.77	-0.54	-0.07	-0.07	0.15	0	-0.261	-0.245	-0.226	-0.000	-0.002	0.611
0.700	-0.261	-0.245	0.000	1.10	2.77	-0.54	-0.18	-0.23	0.09	0	-0.261	-0.245	-0.228	-0.000	-0.002	0.628
