t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.020	-0.280	-0.280	0.000	-1.67	2.07	4.66	0.06	-0.13	-0.00	0	-0.280	-0.280	0.000	-0.000	-0.000	0.000
0.030	-0.279	-0.281	0.000	-1.64	2.06	4.66	0.03	0.02	-0.01	0	-0.279	-0.280	-0.000	0.000	-0.000	0.000
0.041	-0.279	-0.280	0.000	-1.68	2.06	4.66	0.01	0.14	0.03	0	-0.279	-0.280	-0.002	0.000	-0.000	0.000
0.047	-0.280	-0.280	0.000	-1.68	2.10	4.65	0.23	-0.11	-0.16	0	-0.279	-0.280	-0.004	0.000	-0.000	0.001
0.061	-0.279	-0.281	0.000	-1.65	2.07	4.65	-0.11	-0.15	0.20	0	-0.279	-0.280	-0.007	0.000	-0.000	0.001
0.070	-0.278	-0.282	0.000	-1.64	2.06	4.64	-0.01	0.01	-0.19	0	-0.279	-0.280	-0.009	0.000	-0.000	0.002
0.080	-0.279	-0.285	0.000	-1.51	2.10	4.65	0.24	-0.05	0.23	0	-0.279	-0.281	-0.013	0.000	-0.000	0.003
0.086	-0.280	-0.283	0.000	-1.62	2.15	4.65	0.01	0.11	-0.00	0	-0.279	-0.281	-0.016	0.000	-0.001	0.004
0.100	-0.278	-0.283	0.001	-1.66	2.07	4.63	-0.10	-0.28	-0.08	0	-0.279	-0.282	-0.020	0.000	-0.001	0.006
0.111	-0.279	-0.283	0.000	-1.65	2.11	4.63	0.03	0.14	-0.05	0	-0.279	-0.282	-0.024	0.000	-0.001	0.007
0.120	-0.278	-0.283	0.000	-1.67	2.10	4.62	0.07	0.05	0.04	0	-0.279	-0.282	-0.028	0.000	-0.001	0.010
0.128	-0.278	-0.284	0.000	-1.66	2.10	4.62	-0.02	-0.11	-0.06	0	-0.279	-0.282	-0.032	0.000	-0.001	0.012
