t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.016	-0.291	0.048	0.000	-1.82	2.41	-0.29	-0.10	-0.29	-0.08	0	-0.291	0.048	0.000	-0.000	0.000	0.000
0.029	-0.292	0.048	0.000	-1.82	2.41	-0.29	-0.15	0.14	0.09	0	-0.291	0.048	-0.001	-0.000	-0.000	0.000
0.041	-0.293	0.049	0.000	-1.87	2.45	-0.28	0.02	0.19	-0.14	0	-0.292	0.049	-0.002	-0.000	0.000	0.000
0.047	-0.292	0.049	0.000	-1.87	2.42	-0.29	0.05	0.06	-0.04	0	-0.292	0.049	-0.004	-0.000	0.000	0.001
0.058	-0.293	0.050	0.000	-1.89	2.46	-0.28	0.05	0.17	0.01	0	-0.292	0.049	-0.007	-0.000	0.000	0.001
0.068	-0.291	0.048	0.000	-1.81	2.35	-0.29	0.07	-0.23	-0.07	0	-0.292	0.049	-0.010	-0.000	0.000	0.002
0.080	-0.291	0.047	0.000	-1.79	2.35	-0.29	-0.03	-0.07	0.04	0	-0.292	0.049	-0.013	-0.000	0.000	0.003
0.088	-0.292	0.049	0.000	-1.88	2.38	-0.29	0.05	0.17	0.02	0	-0.292	0.049	-0.016	-0.000	0.000	0.004
0.099	-0.291	0.049	0.000	-1.87	2.34	-0.30	-0.14	-0.24	0.22	0	-0.292	0.049	-0.020	-0.000	0.000	0.006
0.109	-0.293	0.049	0.000	-1.89	2.41	-0.29	-0.02	-0.15	0.13	0	-0.292	0.049	-0.024	-0.000	0.000	0.007
0.118	-0.292	0.049	0.000	-1.85	2.38	-0.29	0.33	0.01	0.03	0	-0.292	0.049	-0.028	-0.000	0.000	0.010
0.128	-0.291	0.048	0.000	-1.83	2.34	-0.29	0.10	0.04	0.21	0	-0.292	0.049	-0.032	-0.000	0.000	0.012
0.138	-0.291	0.048	0.000	-1.83	2.34	-0.29	0.13	-0.01	-0.01	0	-0.292	0.049	-0.036	-0.000	0.000	0.015
0.149	-0.293	0.048	0.000	-1.83	2.40	-0.28	-0.01	0.04	-0.10	0	-0.292	0.048	-0.040	-0.000	0.000	0.018
0.158	-0.291	0.048	0.000	-1.83	2.32	-0.29	0.24	0.07	-0.01	0	-0.292	0.048	-0.045	-0.000	-0.000	0.021
0.169	-0.291	0.048	0.000	-1.86	2.32	-0.29	-0.01	-0.22	0.11	0	-0.292	0.048	-0.049	-0.000	-0.000	0.025
0.180	-0.291	0.048	0.000	-1.83	2.32	-0.29	0.03	0.02	-0.01	0	-0.291	0.048	-0.053	0.000	-0.000	0.029
0.190	-0.291	0.048	0.000	-1.83	2.32	-0.29	0.06	-0.16	0.09	0	-0.291	0.048	-0.057	0.000	-0.000	0.033
0.200	-0.293	0.053	0.000	-2.05	2.41	-0.29	0.09	-0.20	-0.05	0	-0.292	0.049	-0.062	-0.000	0.000	0.038
0.209	-0.293	0.053	0.000	-2.04	2.40	-0.29	-0.05	-0.00	0.10	0	-0.292	0.049	-0.066	-0.000	0.000	0.043
0.220	-0.293	0.053	0.000	-2.04	2.39	-0.29	0.01	-0.17	-0.11	0	-0.292	0.050	-0.070	-0.000	0.000	0.049
0.224	-0.293	0.053	0.000	-2.04	2.39	-0.29	0.13	0.21	-0.00	0	-0.292	0.050	-0.075	-0.000	0.001	0.054
0.239	-0.293	0.053	0.000	-2.03	2.40	-0.29	-0.07	-0.32	0.22	0	-0.292	0.051	-0.079	-0.000	0.001	0.060
0.248	-0.293	0.052	0.000	-2.00	2.38	-0.29	-0.04	0.09	0.06	0	-0.292	0.051	-0.083	-0.000	0.001	0.067
0.261	-0.293	0.053	0.000	-2.01	2.37	-0.29	0.05	0.18	0.03	0	-0.292	0.051	-0.087	-0.000	0.001	0.073
0.266	-0.290	0.051	0.000	-1.92	2.24	-0.29	0.15	-0.00	0.26	0	-0.292	0.051	-0.091	-0.000	0.001	0.080
0.279	-0.291	0.053	0.000	-2.00	2.28	-0.29	-0.06	0.02	0.01	0	-0.292	0.051	-0.095	-0.000	0.001	0.087
0.290	-0.293	0.053	0.000	-2.00	2.36	-0.29	0.06	-0.05	-0.04	0	-0.292	0.052	-0.099	-0.000	0.001	0.095
