t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.016	-0.198	0.138	0.000	0.16	1.85	-1.93	0.06	-0.10	-0.04	0	-0.198	0.138	0.000	-0.000	-0.000	0.000
0.032	-0.197	0.137	0.000	0.21	1.81	-1.93	-0.13	0.20	-0.08	0	-0.198	0.138	-0.001	0.000	-0.000	0.000
0.040	-0.197	0.137	0.000	0.21	1.80	-1.93	0.13	-0.27	-0.09	0	-0.198	0.138	-0.002	0.000	-0.000	0.001
0.051	-0.198	0.138	0.000	0.15	1.84	-1.93	0.25	0.16	-0.02	0	-0.198	0.138	-0.004	0.000	-0.000	0.001
0.060	-0.199	0.139	0.000	0.13	1.88	-1.93	0.13	0.08	0.09	0	-0.198	0.138	-0.007	0.000	-0.000	0.002
0.073	-0.197	0.137	0.000	0.19	1.79	-1.93	0.06	-0.06	-0.00	0	-0.198	0.138	-0.009	0.000	-0.000	0.004
0.082	-0.199	0.142	0.000	-0.01	1.85	-1.96	0.06	-0.16	-0.06	0	-0.198	0.139	-0.013	-0.000	0.000	0.006
0.092	-0.198	0.144	0.000	-0.06	1.82	-1.97	0.07	-0.01	-0.03	0	-0.198	0.139	-0.016	-0.000	0.001	0.009
0.098	-0.198	0.141	0.000	0.04	1.84	-1.94	0.13	0.08	0.13	0	-0.198	0.139	-0.020	-0.000	0.001	0.012
0.110	-0.199	0.141	0.000	0.04	1.84	-1.94	0.12	-0.21	-0.17	0	-0.198	0.140	-0.023	-0.000	0.001	0.016
0.121	-0.199	0.143	0.000	-0.01	1.84	-1.95	0.04	-0.14	0.02	0	-0.198	0.140	-0.027	-0.000	0.001	0.021
0.129	-0.197	0.138	0.000	0.15	1.78	-1.91	0.20	-0.04	0.11	0	-0.198	0.140	-0.031	-0.000	0.001	0.027
0.138	-0.197	0.139	0.000	0.14	1.76	-1.92	0.14	-0.28	-0.19	0	-0.198	0.140	-0.035	-0.000	0.001	0.033
0.147	-0.198	0.138	0.000	0.15	1.79	-1.91	0.11	-0.14	-0.06	0	-0.198	0.140	-0.039	-0.000	0.001	0.039
0.158	-0.198	0.139	0.000	0.11	1.83	-1.92	0.25	-0.04	0.10	0	-0.198	0.140	-0.043	-0.000	0.001	0.047
0.174	-0.199	0.139	0.000	0.11	1.83	-1.92	0.37	0.11	-0.15	0	-0.198	0.140	-0.048	-0.000	0.001	0.055
0.179	-0.198	0.139	0.000	0.13	1.81	-1.91	0.16	-0.14	0.27	0	-0.198	0.139	-0.052	-0.000	0.001	0.064
0.190	-0.197	0.139	0.000	0.12	1.76	-1.91	0.18	0.16	-0.07	0	-0.198	0.139	-0.056	-0.000	0.001	0.073
0.201	-0.197	0.138	0.000	0.14	1.73	-1.90	0.27	0.08	0.03	0	-0.198	0.139	-0.060	-0.000	0.001	0.083
0.208	-0.199	0.137	0.000	0.18	1.86	-1.88	0.26	0.02	0.12	0	-0.198	0.139	-0.064	-0.000	0.000	0.094
0.221	-0.198	0.139	0.000	0.11	1.77	-1.91	0.06	0.03	0.01	0	-0.198	0.139	-0.068	-0.000	0.000	0.106
0.229	-0.197	0.139	0.000	0.11	1.77	-1.91	0.04	-0.05	-0.05	0	-0.198	0.139	-0.072	-0.000	0.000	0.118
0.241	-0.197	0.139	0.000	0.12	1.73	-1.90	0.07	-0.12	-0.06	0	-0.198	0.139	-0.076	0.000	0.000	0.131
0.250	-0.197	0.139	0.000	0.12	1.73	-1.90	0.05	-0.18	-0.04	0	-0.198	0.139	-0.080	0.000	0.000	0.145
0.258	-0.196	0.138	0.000	0.14	1.73	-1.89	0.20	-0.04	0.09	0	-0.197	0.139	-0.083	0.000	0.000	0.159
0.273	-0.199	0.139	0.000	0.10	1.82	-1.90	0.22	0.14	-0.04	0	-0.198	0.139	-0.087	0.000	0.000	0.174
0.280	-0.199	0.139	0.000	0.11	1.81	-1.90	0.05	-0.01	0.20	0	-0.198	0.139	-0.091	0.000	0.000	0.189
0.291	-0.198	0.139	0.000	0.09	1.78	-1.90	0.18	0.04	-0.08	0	-0.198	0.139	-0.095	0.000	0.000	0.206
0.299	-0.196	0.135	0.000	0.23	1.70	-1.85	0.08	-0.13	-0.15	0	-0.198	0.139	-0.098	0.000	-0.000	0.222
0.308	-0.196	0.138	0.000	0.14	1.72	-1.88	0.25	-0.11	-0.13	0	-0.197	0.138	-0.102	0.000	-0.000	0.240
0.316	-0.196	0.138	0.000	0.12	1.72	-1.89	0.45	-0.16	0.11	0	-0.197	0.138	-0.105	0.000	-0.000	0.258
0.330	-0.197	0.139	0.000	0.11	1.76	-1.89	0.10	-0.25	-0.04	0	-0.197	0.138	-0.109	0.000	-0.000	0.276
0.342	-0.199	0.139	0.000	0.09	1.82	-1.90	0.24	-0.10	0.06	0	-0.197	0.139	-0.112	0.000	-0.000	0.295
0.350	-0.197	0.138	0.000	0.12	1.73	-1.89	-0.20	-0.05	0.08	0	-0.197	0.138	-0.115	0.000	-0.000	0.315
0.359	-0.197	0.139	0.000	0.08	1.76	-1.90	0.17	-0.13	-0.05	0	-0.197	0.139	-0.119	0.000	-0.000	0.335
0.367	-0.199	0.139	0.000	0.08	1.82	-1.90	0.05	0.13	-0.04	0	-0.198	0.139	-0.122	0.000	-0.000	0.356
0.382	-0.199	0.139	0.000	0.08	1.81	-1.90	0.30	-0.06	0.25	0	-0.198	0.139	-0.125	0.000	0.000	0.377
0.390	-0.198	0.137	0.000	0.15	1.78	-1.87	-0.02	0.18	0.17	0	-0.198	0.139	-0.128	0.000	-0.000	0.399
0.401	-0.198	0.139	0.000	0.09	1.80	-1.88	0.11	-0.19	-0.13	0	-0.198	0.139	-0.131	0.000	-0.000	0.421
0.411	-0.197	0.139	0.000	0.09	1.72	-1.88	0.06	-0.01	-0.12	0	-0.198	0.139	-0.134	0.000	-0.000	0.444
0.422	-0.197	0.138	0.000	0.11	1.73	-1.87	0.02	-0.35	0.05	0	-0.198	0.139	-0.137	0.000	-0.000	0.468
0.430	-0.200	0.140	0.000	0.05	1.86	-1.90	0.19	-0.19	-0.02	0	-0.198	0.139	-0.140	-0.000	-0.000	0.492
0.441	-0.197	0.137	0.000	0.14	1.73	-1.86	0.15	0.21	-0.21	0	-0.198	0.139	-0.143	0.000	-0.000	0.516
0.449	-0.199	0.140	0.000	0.07	1.80	-1.89	-0.04	-0.17	-0.25	0	-0.198	0.139	-0.145	0.000	-0.000	0.541
0.458	-0.199	0.140	0.000	0.07	1.80	-1.89	0.29	0.03	-0.25	0	-0.198	0.139	-0.148	-0.000	0.000	0.566
0.467	-0.199	0.139	0.000	0.10	1.80	-1.87	-0.04	0.01	0.11	0	-0.198	0.139	-0.151	-0.000	-0.000	0.592
0.481	-0.199	0.149	0.000	-0.22	1.78	-2.01	0.23	-0.05	0.08	0	-0.198	0.140	-0.153	-0.000	0.001	0.618
0.492	-0.200	0.150	0.000	-0.25	1.81	-2.02	-0.22	-0.03	0.15	0	-0.198	0.141	-0.156	-0.000	0.002	0.644
0.501	-0.200	0.149	0.000	-0.20	1.83	-2.00	0.21	0.06	0.23	0	-0.199	0.142	-0.158	-0.001	0.003	0.671
0.508	-0.198	0.147	0.000	-0.14	1.73	-1.96	0.02	-0.09	-0.08	0	-0.199	0.143	-0.161	-0.000	0.003	0.699
0.517	-0.199	0.147	0.000	-0.12	1.79	-1.96	0.20	-0.24	0.07	0	-0.199	0.144	-0.163	-0.001	0.004	0.727
0.531	-0.199	0.148	0.000	-0.15	1.78	-1.97	0.24	-0.15	0.07	0	-0.199	0.144	-0.165	-0.001	0.004	0.755
0.542	-0.199	0.147	0.000	-0.11	1.78	-1.95	-0.02	0.18	0.00	0	-0.199	0.145	-0.168	-0.001	0.004	0.784
0.552	-0.198	0.147	0.000	-0.08	1.76	-1.94	0.21	-0.10	0.01	0	-0.199	0.145	-0.170	-0.001	0.004	0.813
