t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.131,HOVER,-1.168468,15.878266,0.000067,0.000000,0.000000,0.000000,-0.616501,1.204566,-1.359002,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.929049,0
0.230,HOVER,-1.167853,15.877581,0.000079,0.006229,-0.006936,0.000129,-0.586120,1.175885,-1.345699,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928320,0
0.331,HOVER,-1.167652,15.877571,0.000101,0.001964,-0.000094,0.000214,-0.583747,1.161121,-1.335041,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928295,0
0.430,HOVER,-1.168509,15.877563,0.000077,-0.008641,-0.000087,-0.000249,-0.575670,1.187170,-1.324334,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928350,0
0.529,HOVER,-1.168360,15.878190,0.000116,0.001499,0.006348,0.000399,-0.613223,1.189568,-1.312305,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928963,0
0.630,HOVER,-1.167708,15.878164,0.000160,0.006476,-0.000256,0.000431,-0.608055,1.178208,-1.298396,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928888,0
0.734,HOVER,-1.167468,15.877943,0.000154,0.002302,-0.002127,-0.000055,-0.596616,1.168755,-1.284290,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928650,0
0.831,HOVER,-1.167774,15.878733,0.000213,-0.003167,0.008182,0.000616,-0.636664,1.202775,-1.272203,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.929458,0
0.931,HOVER,-1.167409,15.878103,0.000195,0.003636,-0.006268,-0.000182,-0.612505,1.189189,-1.261239,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928804,0
1.026,HOVER,-1.166283,15.878234,0.000217,0.011888,0.001380,0.000229,-0.624259,1.136693,-1.256577,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928852,0
1.131,HOVER,-1.168165,15.878884,0.000216,-0.017851,0.006169,-0.000008,-0.652970,1.229345,-1.241611,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.929638,0
1.224,HOVER,-1.166909,15.878219,0.000184,0.013507,-0.007156,-0.000344,-0.627077,1.164489,-1.228546,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.928883,0
1.330,HOVER,-1.167472,15.878654,0.000125,-0.005309,0.004105,-0.000551,-0.650130,1.186800,-1.210966,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.929360,0
1.427,HOVER,-1.167673,15.878665,0.000057,-0.002077,0.000118,-0.000700,-0.642294,1.183528,-1.197843,0.000,0.000,0.500,0,0,0,0,0,0,0,0,15.929388,0
1.526,HOVER,0.000833,-0.000345,0.000063,11.801618,-160.373998,0.000060,-0.185974,0.081658,0.000521,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499937,0
1.626,HOVER,0.000527,-0.000398,0.000236,-0.003073,-0.000526,0.001737,-0.486584,0.764748,-0.000956,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499764,0
1.730,HOVER,0.000411,0.000123,0.000250,-0.001111,0.004978,0.000127,-0.650853,0.962672,-0.001248,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499750,0
1.829,HOVER,-0.000264,-0.000309,0.000093,-0.006873,-0.004401,-0.001592,-0.618375,1.136046,-0.001292,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499907,0
1.928,HOVER,0.000132,-0.000509,0.000079,0.003971,-0.002008,-0.000144,-0.614975,1.132499,0.000883,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499921,0
2.028,HOVER,0.002277,-0.001612,0.000073,0.021505,-0.011062,-0.000063,-0.547177,1.010154,-0.002442,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499935,0
2.128,HOVER,-0.000003,-0.000216,0.000125,-0.022821,0.013972,0.000527,-0.644572,1.178783,0.000938,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499875,0
2.228,HOVER,0.001773,-0.001466,0.000151,0.017692,-0.012440,0.000257,-0.588538,1.090677,0.002472,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499854,0
2.331,HOVER,0.000888,-0.000654,0.000170,-0.008648,0.007931,0.000183,-0.629247,1.154431,-0.000120,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499831,0
2.431,HOVER,0.000121,-0.000397,0.000184,-0.007622,0.002550,0.000136,-0.640342,1.203421,-0.002734,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499817,0
2.530,HOVER,-0.000146,-0.000404,0.000144,-0.002707,-0.000063,-0.000405,-0.636722,1.218162,-0.001680,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499857,0
2.631,HOVER,0.005129,-0.004684,0.000228,0.052554,-0.042644,0.000842,-0.495842,1.034437,-0.007082,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499820,0
2.725,HOVER,0.005304,-0.005567,0.000155,0.001854,-0.009374,-0.000773,-0.523897,1.110644,-0.002692,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499904,0
2.830,HOVER,0.005308,-0.004240,0.000084,0.000034,0.012571,-0.000671,-0.609721,1.146484,0.001835,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499962,0
2.928,HOVER,0.005508,-0.005581,0.000050,0.002053,-0.013754,-0.000351,-0.573935,1.173761,0.002464,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500011,0
3.026,HOVER,0.005102,-0.005100,0.000085,-0.004143,0.004917,0.000351,-0.610637,1.211084,0.002221,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499967,0
3.124,HOVER,0.004807,-0.004091,0.000152,-0.003000,0.010250,0.000686,-0.658416,1.228327,0.004820,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499888,0
3.225,HOVER,0.005960,-0.005021,0.000173,0.011446,-0.009225,0.000204,-0.633951,1.181165,0.003695,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499888,0
3.328,HOVER,0.005912,-0.004983,0.000154,-0.000466,0.000362,-0.000183,-0.640786,1.179195,0.003029,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499906,0
3.426,HOVER,0.005802,-0.004730,0.000173,-0.001127,0.002593,0.000193,-0.651507,1.166104,0.005073,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499883,0
3.527,HOVER,0.005147,-0.005358,0.000180,-0.006500,-0.006233,0.000074,-0.622299,1.197747,0.003471,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499875,0
3.626,HOVER,0.004718,-0.004107,0.000221,-0.004305,0.012549,0.000408,-0.674182,1.206954,0.002889,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499818,0
3.729,HOVER,0.005308,-0.005755,0.000103,0.005727,-0.015969,-0.001138,-0.554564,1.156436,-0.072694,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499958,0
3.829,HOVER,0.004979,-0.005221,-0.000010,-0.003297,0.005344,-0.001133,-0.490098,1.062466,-0.587263,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500062,0
3.929,HOVER,0.003966,-0.003090,0.000169,-0.010118,0.021267,0.001786,-0.446950,1.149564,-1.194826,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499856,0
4.029,HOVER,0.007963,-0.003116,0.000923,0.040228,-0.000255,0.007588,0.261262,0.506710,-1.309390,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499150,0
4.129,HOVER,0.009505,-0.001964,0.001798,0.015365,0.011476,0.008717,0.279263,1.377113,-1.226781,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.498296,0
4.229,HOVER,0.012858,-0.004157,0.003163,0.033623,-0.021991,0.013687,-0.648760,-0.221565,-1.184443,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.497021,0
4.329,HOVER,0.000360,0.003716,0.004831,-0.124420,0.078372,0.016601,-0.006620,1.944435,-0.953686,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.495183,0
4.430,HOVER,-0.018076,0.010153,0.013215,-0.183548,0.064091,0.083474,0.117279,-0.120008,-1.114540,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.487226,0
4.525,HOVER,-0.024214,0.013325,0.037024,-0.064709,0.033437,0.251019,0.854576,-2.100950,-1.309878,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.463801,0
4.623,HOVER,-0.019086,0.008829,0.064091,0.052275,-0.045826,0.275932,1.330727,-2.848457,-1.293755,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.436416,0
4.729,HOVER,-0.017227,0.005999,0.084874,0.017485,-0.026621,0.195481,0.050315,-0.787013,-1.067794,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.415526,0
4.826,HOVER,-0.011323,0.002363,0.095199,0.060924,-0.037520,0.106530,0.124665,-0.290750,-0.920856,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.404966,0
4.924,HOVER,-0.005465,-0.001768,0.111294,0.059718,-0.042110,0.164088,-0.509453,1.017710,-0.915243,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.388749,0
5.024,HOVER,-0.000986,-0.005149,0.124181,0.044593,-0.033665,0.128315,-0.516875,0.685011,-0.845477,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.375855,0
5.121,HOVER,0.003993,-0.008318,0.133681,0.051370,-0.032693,0.098005,-0.466076,0.767741,-0.633032,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.366435,0
5.229,HOVER,0.005714,-0.010164,0.151570,0.016020,-0.017190,0.166554,-0.342188,0.618184,-0.546923,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.348625,0
5.326,HOVER,0.004628,-0.004454,0.174576,-0.011229,0.059067,0.237967,-0.402070,0.388204,-0.559210,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.325487,0
5.432,HOVER,0.001373,-0.000165,0.203064,-0.030700,0.040455,0.268703,0.219789,-0.132513,-0.550959,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.296939,0
5.528,HOVER,0.000008,0.005930,0.236181,-0.014198,0.063368,0.344324,0.446295,-0.576601,-0.477881,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.263886,0
5.631,HOVER,-0.001695,0.003657,0.260855,-0.016462,-0.021968,0.238508,0.900709,-0.644872,-0.513944,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.239179,0
5.727,HOVER,0.000126,0.008678,0.288095,0.018979,0.052313,0.283830,0.586851,-0.473846,-0.559526,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.212083,0
5.828,HOVER,0.004990,0.011014,0.316654,0.048351,0.023221,0.283930,0.610103,-0.236339,-0.653824,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.183744,0
5.928,HOVER,0.011973,0.009901,0.340777,0.069627,-0.011098,0.240530,0.296541,0.089742,-0.750997,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.159979,0
6.028,HOVER,0.015604,0.009022,0.369758,0.036382,-0.008809,0.290373,0.016106,0.431588,-0.768882,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.131483,0
6.129,HOVER,0.017059,-0.016857,0.396136,0.014309,-0.254541,0.259443,-0.148683,0.460353,-0.735896,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.106597,0
