t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.128,HOVER,-0.257929,-0.030398,0.000077,0.000000,0.000000,0.000000,-0.541000,1.229567,-0.674612,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.563360,0
0.228,HOVER,-0.257931,-0.031207,0.000121,-0.000025,-0.008113,0.000449,-0.507503,1.236806,-0.667155,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.563366,0
0.326,HOVER,-0.256922,-0.029618,0.000112,0.010332,0.016263,-0.000094,-0.590207,1.195280,-0.669163,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562827,0
0.425,HOVER,-0.256939,-0.031221,0.000164,-0.000176,-0.016187,0.000528,-0.512026,1.194794,-0.659890,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562875,0
0.528,HOVER,-0.257425,-0.021286,0.000278,-0.004685,0.095916,0.001098,-0.859215,1.224434,-0.676271,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562532,0
0.626,HOVER,-0.257625,-0.020628,0.000409,-0.002053,0.006734,0.001340,-0.736578,1.232043,-0.666763,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562483,0
0.725,HOVER,-0.256935,-0.022204,0.000245,0.007006,-0.015999,-0.001668,-0.572424,1.200207,-0.655209,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562374,0
0.823,HOVER,-0.258239,-0.021027,0.000206,-0.013185,0.011903,-0.000392,-0.568001,1.248927,-0.651122,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562960,0
0.927,HOVER,-0.257995,-0.021011,0.000154,0.002351,0.000158,-0.000499,-0.538133,1.240747,-0.642218,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562893,0
1.023,HOVER,-0.257134,-0.022077,0.000096,0.009020,-0.011177,-0.000605,-0.468836,1.200324,-0.630443,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562591,0
1.125,HOVER,-0.257334,-0.021447,0.000067,-0.001951,0.006152,-0.000284,-0.491064,1.209594,-0.624214,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562684,0
1.228,HOVER,-0.258133,-0.020225,0.000108,-0.007769,0.011888,0.000396,-0.536993,1.247367,-0.617439,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562968,0
1.327,HOVER,-0.257335,-0.021030,0.000113,0.008053,-0.008131,0.000055,-0.500845,1.218289,-0.610412,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562628,0
1.424,HOVER,-0.256148,-0.020229,0.000052,0.012271,0.008283,-0.000634,-0.537512,1.173396,-0.612795,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.562111,0
1.528,HOVER,0.003278,-0.000883,0.000000,2.495571,0.186096,-0.000500,0.445747,-0.752478,0.006131,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500011,0
1.626,HOVER,0.005713,-0.002044,0.000300,0.024766,-0.011815,0.003049,0.046921,0.435797,0.006230,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499737,0
1.725,HOVER,0.005895,-0.001214,0.000227,0.001847,0.008411,-0.000742,-0.445092,1.123794,0.013270,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499810,0
1.822,HOVER,0.001359,0.006682,0.000129,-0.046554,0.081040,-0.001000,-1.292767,1.803306,0.034638,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499917,0
1.925,HOVER,0.003249,0.005094,0.000239,0.018313,-0.015390,0.001065,-0.736065,1.479871,0.011171,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499797,0
2.023,HOVER,0.003358,0.004854,0.000203,0.001121,-0.002465,-0.000374,-0.577511,1.402402,0.004930,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499832,0
