t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.111,HOVER,0.000633,-0.000596,0.000084,0.0,0.0,0.0,-0.184427,0.025442,0.003946,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499917,0.0
0.213,HOVER,0.001302,-0.000797,0.000151,0.0,0.0,0.0,-0.530543,0.464866,0.006403,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499851,0.0
0.314,HOVER,0.000697,-0.000849,0.000090,0.0,0.0,0.0,-0.685578,0.986995,0.010142,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499911,0.0
0.415,HOVER,0.001459,-0.001094,0.000010,0.0,0.0,0.0,-0.763962,1.057575,0.011429,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499994,0.0
0.516,HOVER,0.001178,-0.000482,0.000007,0.0,0.0,0.0,-0.864484,1.185288,0.013819,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.499995,0.0
0.611,HOVER,0.001159,-0.001668,-0.000024,0.0,0.0,0.0,-0.809667,1.234215,0.014203,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500029,0.0
0.715,HOVER,0.000987,-0.001546,-0.000090,0.0,0.0,0.0,-0.848509,1.281459,0.016333,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500093,0.0
0.816,HOVER,0.001192,-0.002021,-0.000073,0.0,0.0,0.0,-0.830292,1.286703,0.016268,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500078,0.0
0.916,HOVER,0.000883,-0.001207,-0.000070,0.0,0.0,0.0,-0.889539,1.310094,0.019723,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500072,0.0
1.018,HOVER,0.000854,-0.000708,-0.000045,0.0,0.0,0.0,-0.916652,1.311660,0.024105,0.000,0.000,0.500,0.0,0.0,0.0,0.0,0,0,0,0,0.500046,0.0
