t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.130,HOVER,0.057145,-0.441698,-0.008420,0.000000,0.000000,0.000000,-2.605434,-0.948252,13.975860,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.675909,0
0.229,HOVER,0.056036,-0.437660,-0.006168,-0.011127,0.040532,0.022595,-2.250420,-0.505379,13.799061,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.671485,0
0.330,HOVER,0.053787,-0.434728,-0.007554,-0.022446,0.029252,-0.013823,-2.045299,0.121696,13.988115,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.670442,0
0.425,HOVER,0.055325,-0.435248,-0.009110,0.016095,-0.005444,-0.016288,-1.694181,0.408892,13.996367,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.672083,0
0.529,HOVER,0.054828,-0.435243,-0.010527,-0.004778,0.000050,-0.013627,-1.468644,0.620999,13.986320,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.673113,0
0.628,HOVER,0.052266,-0.430105,-0.007743,-0.025921,0.051984,0.028164,-1.544821,0.825545,14.024321,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.667477,0
0.728,HOVER,0.053687,-0.430245,-0.008732,0.014161,-0.001392,-0.009852,-1.302023,0.918500,13.865373,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.668432,0
0.824,HOVER,0.054190,-0.428720,-0.010488,0.005236,0.015869,-0.018278,-1.204911,0.991827,13.747130,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.668831,0
0.928,HOVER,0.054233,-0.428507,-0.011768,0.000416,0.002050,-0.012356,-1.085796,1.090865,13.619799,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.669676,0
1.027,HOVER,0.051956,-0.427311,-0.008450,-0.022959,0.012062,0.033449,-1.030033,1.243294,13.538848,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.666195,0
1.129,HOVER,0.054367,-0.427606,-0.009673,0.023593,-0.002889,-0.011960,-0.929727,1.206830,13.355157,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.667510,0
1.227,HOVER,0.054232,-0.426475,-0.010868,-0.001382,0.011538,-0.012196,-0.913967,1.254403,13.243308,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.667689,0
1.331,HOVER,0.055456,-0.428672,-0.007707,0.011857,-0.021288,0.030628,-0.768225,1.283423,13.085330,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.666785,0
1.424,HOVER,0.000081,-0.000018,-0.000090,-0.591783,4.580975,0.081403,-0.024534,0.094335,-0.000207,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500090,0
1.528,HOVER,0.001583,-0.000536,-0.003175,0.014481,-0.004988,-0.029733,-0.157873,0.216431,0.000330,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.503178,0
1.628,HOVER,0.002866,0.001878,-0.007643,0.012816,0.024125,-0.044653,-0.929547,0.752240,0.002571,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.507655,0
1.726,HOVER,0.003108,0.004154,-0.006770,0.002467,0.023173,0.008896,-1.015404,1.147402,-0.000654,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.506796,0
1.825,HOVER,0.002820,0.003164,-0.008381,-0.002902,-0.009981,-0.016252,-0.746382,1.370617,-0.011465,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508399,0
1.924,HOVER,0.003429,0.004339,-0.010582,0.006196,0.011951,-0.022383,-0.811256,1.389281,-0.006416,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510612,0
2.029,HOVER,0.003549,0.003574,-0.012190,0.001135,-0.007259,-0.015273,-0.734172,1.416183,-0.011999,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.512215,0
2.127,HOVER,0.006105,-0.002074,-0.008720,0.026118,-0.057706,0.035454,-0.482643,1.294952,-0.025917,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508761,0
2.227,HOVER,0.004260,0.002075,-0.009829,-0.018331,0.041220,-0.011016,-0.787013,1.429176,-0.009203,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.509851,0
2.325,HOVER,0.004725,0.002025,-0.010986,0.004775,-0.000515,-0.011871,-0.779565,1.410045,-0.010317,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.511011,0
2.424,HOVER,0.005475,0.001705,-0.007774,0.007598,-0.003244,0.032536,-0.767590,1.366842,-0.013873,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.507806,0
2.527,HOVER,0.005411,0.001537,-0.008723,-0.000628,-0.001628,-0.009194,-0.768753,1.372843,-0.012718,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508754,0
2.624,HOVER,0.004584,0.002030,-0.010103,-0.008491,0.005072,-0.014172,-0.801039,1.416847,-0.011866,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510127,0
2.722,HOVER,0.004864,0.002745,-0.011292,0.002859,0.007295,-0.012140,-0.839143,1.397227,-0.011506,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.511323,0
2.825,HOVER,0.005241,0.003762,-0.008072,0.003661,0.009864,0.031233,-0.880556,1.367169,-0.010430,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508113,0
2.927,HOVER,0.003760,0.003178,-0.009102,-0.014629,-0.005769,-0.010163,-0.852385,1.420393,-0.010452,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.509126,0
3.025,HOVER,0.003806,0.003450,-0.010754,0.000463,0.002764,-0.016775,-0.861298,1.405314,-0.009767,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510780,0
3.122,HOVER,0.003871,0.002848,-0.012006,0.000677,-0.006200,-0.012890,-0.830475,1.409701,-0.008858,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.512028,0
3.226,HOVER,0.004259,0.002191,-0.008538,0.003721,-0.006313,0.033323,-0.795405,1.394648,-0.008443,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508560,0
3.329,HOVER,0.004756,0.002254,-0.009747,0.004859,0.000615,-0.011805,-0.801425,1.374632,-0.010178,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.509774,0
3.427,HOVER,0.004080,0.002952,-0.011254,-0.006891,0.007113,-0.015365,-0.837738,1.413562,-0.008051,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.511279,0
3.524,HOVER,0.005222,0.004249,-0.007746,0.011679,0.013275,0.035893,-0.887525,1.362302,-0.008958,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.507790,0
3.623,HOVER,0.005123,0.002618,-0.008506,-0.000999,-0.016517,-0.007698,-0.784487,1.317001,-0.020069,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508539,0
3.726,HOVER,0.005352,0.002664,-0.009242,0.002222,0.000444,-0.007155,-0.758594,1.256776,-0.276603,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.509277,0
3.823,HOVER,0.005398,0.002668,-0.009731,0.000477,0.000048,-0.005031,-0.552048,1.174152,-0.352304,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.509767,0
3.927,HOVER,0.008475,-0.003357,-0.005257,0.029614,-0.058001,0.043071,0.371579,1.521217,-0.801575,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.505339,0
4.025,HOVER,0.008071,-0.001754,-0.003549,-0.004122,0.016362,0.017437,-0.701233,2.049523,-0.822083,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.503616,0
4.125,HOVER,0.009557,-0.003548,-0.000793,0.014892,-0.017984,0.027614,0.343066,1.014464,-0.692839,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500897,0
4.224,HOVER,0.001189,-0.008756,0.018214,-0.084632,-0.052670,0.192249,0.025913,0.355829,-0.463108,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.481867,0
4.325,HOVER,-0.007320,-0.004002,0.055377,-0.083930,0.046884,0.366550,0.173187,-1.222158,-0.032733,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.444701,0
4.425,HOVER,-0.016048,-0.005292,0.071352,-0.087801,-0.012976,0.160718,-0.379047,-1.178768,0.052615,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.428980,0
4.525,HOVER,-0.021891,-0.007491,0.085931,-0.058313,-0.021944,0.145482,0.116766,-1.671292,-0.130688,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.414715,0
4.626,HOVER,-0.026123,-0.012244,0.101938,-0.041653,-0.046771,0.157527,-0.231568,-1.247345,-0.118132,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.399106,0
4.726,HOVER,-0.026434,-0.016908,0.109671,-0.003127,-0.046952,0.077838,-0.408970,-0.827347,-0.141312,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.391588,0
4.824,HOVER,-0.026557,-0.019335,0.117955,-0.001249,-0.024709,0.084356,-0.782913,-0.142790,-0.084583,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.383455,0
4.924,HOVER,-0.025222,-0.020642,0.126984,0.013306,-0.013031,0.090029,-0.546522,0.071465,0.042468,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.374437,0
5.023,HOVER,-0.025108,-0.016199,0.147239,0.001158,0.045123,0.205749,-0.353754,0.203993,0.148950,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.354024,0
5.125,HOVER,-0.026053,-0.016124,0.171109,-0.009209,0.000739,0.232577,0.207501,0.165119,0.216549,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.330315,0
5.223,HOVER,-0.027269,-0.008742,0.202212,-0.012457,0.075647,0.318760,0.351654,-0.307360,0.195179,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.299162,0
5.327,HOVER,-0.026572,-0.005787,0.234506,0.006719,0.028495,0.311392,0.565242,-0.611178,0.201367,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.266883,0
5.427,HOVER,-0.020289,-0.008950,0.260600,0.062866,-0.031643,0.261072,0.820033,-0.659758,0.287891,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.240425,0
5.526,HOVER,-0.015532,-0.010011,0.290530,0.047917,-0.010687,0.301504,0.306743,0.026172,0.471598,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.210284,0
5.625,HOVER,-0.012384,-0.014836,0.319847,0.031652,-0.048513,0.294778,0.199986,0.217237,0.647622,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.181187,0
5.723,HOVER,-0.008455,-0.022270,0.350129,0.040414,-0.076469,0.311487,-0.173865,0.323876,0.728967,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.151752,0
5.821,HOVER,-0.006418,-0.027804,0.378948,0.020632,-0.056060,0.291910,-0.407350,0.268049,0.682885,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.124370,0
5.924,HOVER,-0.005048,-0.036745,0.406178,0.013299,-0.086781,0.264305,-0.680651,0.205135,0.659830,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.100887,0
6.023,HOVER,-0.004970,-0.045066,0.436747,0.000794,-0.084585,0.310745,-0.669566,0.129935,0.670855,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.077824,0
6.122,HOVER,-0.004466,-0.050179,0.468725,0.005063,-0.051420,0.321583,-0.710744,-0.203405,0.656102,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.059296,0
6.222,HOVER,-0.004637,-0.056553,0.489245,-0.001719,-0.064131,0.206451,-0.617399,-0.408055,0.370925,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.057753,0
6.325,HOVER,-0.004801,-0.065845,0.508660,-0.001585,-0.090119,0.188292,-0.552745,-0.321485,-0.055306,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.066585,0
6.424,HOVER,-0.001975,-0.068747,0.520528,0.028386,-0.029146,0.119215,-0.595800,-0.287035,-0.421250,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.071774,0
6.522,HOVER,0.001987,-0.073524,0.536452,0.040352,-0.048659,0.162177,-0.442961,0.039617,-0.576362,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.082089,0
6.624,HOVER,0.002195,-0.080172,0.543084,0.002045,-0.065301,0.065154,-0.427906,0.233827,-0.455174,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.091042,0
6.725,HOVER,-0.001284,-0.088447,0.550136,-0.034353,-0.081705,0.069625,-0.422406,0.234233,-0.259914,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.101676,0
6.824,HOVER,-0.001108,-0.095053,0.559306,0.001780,-0.066716,0.092615,-0.591289,0.005769,-0.094312,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.112042,0
6.921,HOVER,-0.003892,-0.107765,0.562483,-0.028980,-0.132313,0.033064,-0.608972,-0.069196,0.037006,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.124630,0
7.023,HOVER,-0.002306,-0.108993,0.567371,0.015439,-0.011959,0.047597,-0.548176,-0.185212,0.060158,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.128155,0
7.121,HOVER,-0.001996,-0.113182,0.567834,0.003173,-0.042885,0.004733,-0.350459,-0.063013,0.026347,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.131968,0
7.220,HOVER,-0.004840,-0.123299,0.570936,-0.028655,-0.101929,0.031250,-0.327795,-0.017050,-0.026135,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.142331,0
7.324,HOVER,-0.005401,-0.130303,0.565393,-0.005412,-0.067602,-0.053500,-0.315275,-0.018625,-0.012812,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.145891,0
7.422,HOVER,-0.008350,-0.134318,0.565727,-0.029863,-0.040667,0.003383,-0.260894,0.014698,0.069343,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.149770,0
7.521,HOVER,-0.015772,-0.146477,0.567317,-0.075244,-0.123261,0.016121,-0.183427,-0.176737,0.047719,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.161974,0
7.621,HOVER,-0.025867,-0.163616,0.573386,-0.101338,-0.172050,0.060919,-0.254727,-0.305517,0.063309,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.181176,0
7.723,HOVER,-0.020877,-0.171324,0.574025,0.048821,-0.075419,0.006254,-0.599186,-0.440695,0.308019,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.187796,0
7.822,HOVER,-0.021714,-0.173619,0.573672,-0.008413,-0.023081,-0.003547,-0.630176,-0.356892,0.669348,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.189849,0
7.921,HOVER,-0.022930,-0.190575,0.576526,-0.012358,-0.172315,0.029004,-0.636230,-0.283618,0.984764,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.206642,0
8.024,CIRCLE,-0.024581,-0.201643,0.575247,-0.016002,-0.107257,-0.012390,-0.835556,-0.156165,1.261715,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.216625,0
8.121,CIRCLE,-0.027515,-0.202882,0.571559,-0.030300,-0.012792,-0.038097,-5.281283,0.133076,1.424725,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.216884,0
