t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.129,HOVER,-0.804207,0.513665,-0.010884,0.000000,0.000000,0.000000,-2.476601,1.262757,81.697960,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.082406,0
0.229,HOVER,-0.804270,0.513880,-0.012370,-0.000634,0.002144,-0.014862,-2.527443,1.264101,80.949364,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.083257,0
0.330,HOVER,-0.803294,0.512980,-0.008715,0.009687,-0.008925,0.036273,-2.503772,1.298903,80.209671,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080380,0
0.430,HOVER,-0.804444,0.513869,-0.010088,-0.011449,0.008843,-0.013658,-2.596944,1.283323,79.476761,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.082304,0
0.526,HOVER,-0.804535,0.514739,-0.011294,-0.000954,0.009129,-0.012657,-2.615882,1.249559,78.740906,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.083354,0
0.627,HOVER,-0.803421,0.513569,-0.008053,0.010968,-0.011516,0.031903,-2.556357,1.290215,78.017067,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080443,0
0.724,HOVER,-0.801773,0.514130,-0.009061,0.016982,0.005785,-0.010384,-2.586262,1.270737,77.295174,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.079960,0
0.823,HOVER,-0.800909,0.513978,-0.010789,0.008717,-0.001541,-0.017421,-2.571975,1.261217,76.580833,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080061,0
0.929,HOVER,-0.801023,0.514014,-0.012133,-0.001089,0.000344,-0.012760,-2.596507,1.266964,75.873550,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080800,0
1.029,HOVER,-0.802466,0.514492,-0.008655,-0.014427,0.004782,0.034798,-2.659539,1.257973,75.172409,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080455,0
1.129,HOVER,-0.800864,0.513423,-0.009866,0.015988,-0.010667,-0.012090,-2.577755,1.274529,74.474617,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.079329,0
1.226,HOVER,-0.801247,0.513947,-0.010998,-0.003960,0.005408,-0.011698,-2.606038,1.256840,73.782127,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080397,0
1.326,HOVER,-0.801372,0.513296,-0.012538,-0.001240,-0.006488,-0.015356,-2.605172,1.279598,73.098114,0.000,0.000,0.500,0,0,0,0,0,0,0,0,1.080909,0
1.429,HOVER,-0.000434,-0.000057,-0.000130,7.779934,-4.986480,0.120524,-0.040132,0.234438,0.001174,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500130,0
1.529,HOVER,-0.000404,-0.001690,-0.003571,0.000305,-0.016289,-0.034346,-0.400764,0.465649,0.001823,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.503574,0
1.627,HOVER,0.000340,-0.002486,-0.008150,0.007610,-0.008149,-0.046852,-1.194007,0.602338,0.007520,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508157,0
1.728,HOVER,0.001206,-0.002940,-0.006993,0.008523,-0.004473,0.011390,-1.694509,0.704248,0.012892,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.507003,0
1.828,HOVER,0.000778,0.002835,-0.008601,-0.004272,0.057757,-0.016074,-2.540214,0.904823,0.024172,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508609,0
1.928,HOVER,-0.001343,0.001093,-0.010740,-0.021261,-0.017453,-0.021439,-2.350394,1.134314,0.012305,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510743,0
2.029,HOVER,-0.004504,0.002078,-0.012357,-0.031492,0.009806,-0.016108,-2.436295,1.326207,0.007017,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.512381,0
2.129,HOVER,-0.003800,0.001605,-0.008826,0.006971,-0.004681,0.034970,-2.397565,1.190338,0.007958,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508843,0
2.223,HOVER,-0.003819,0.005558,-0.009957,-0.000204,0.042157,-0.012060,-2.571342,1.139733,0.014381,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510002,0
2.330,HOVER,-0.001888,0.006045,-0.011049,0.018082,0.004556,-0.010227,-2.530843,1.036285,0.019570,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.511089,0
2.428,HOVER,-0.003130,0.005364,-0.012575,-0.012691,-0.006952,-0.015578,-2.461089,1.087475,0.010353,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.512612,0
2.526,HOVER,-0.003838,0.005705,-0.008780,-0.007191,0.003467,0.038585,-2.457454,1.127007,0.008378,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508826,0
2.627,HOVER,-0.002905,0.007220,-0.010137,0.009287,0.015079,-0.013513,-2.522482,1.079627,0.013905,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.510196,0
