t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.127,HOVER,0.003659,0.003988,0.000100,0.000000,0.000000,0.000000,1.296819,1.089753,0.003588,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499929,0
0.226,HOVER,0.003278,0.004012,0.000136,-0.003841,0.000237,0.000359,1.300600,1.109219,0.003776,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499891,0
0.326,HOVER,0.003451,0.002856,0.000175,0.001725,-0.011517,0.000389,1.342640,1.112068,0.002343,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499845,0
0.429,HOVER,0.003063,0.003316,0.000100,-0.003761,0.004465,-0.000728,1.327986,1.137140,0.005806,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499921,0
0.527,HOVER,0.003067,0.003304,0.000052,0.000040,-0.000124,-0.000488,1.316572,1.144306,0.005277,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499968,0
0.631,HOVER,0.003511,0.003100,0.000040,0.004256,-0.001955,-0.000117,1.325293,1.129898,0.004268,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499982,0
0.732,HOVER,0.004821,0.003987,0.000042,0.013026,0.008817,0.000017,1.282756,1.066249,0.006767,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499998,0
0.829,HOVER,0.003773,0.002925,0.000064,-0.010794,-0.010932,0.000235,1.329772,1.113189,0.006894,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499958,0
0.928,HOVER,0.003344,0.003389,0.000041,-0.004341,0.004694,-0.000235,1.302925,1.133417,0.002197,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499982,0
1.029,HOVER,0.003638,0.003151,0.000051,0.002889,-0.002338,0.000095,1.311026,1.125735,0.001738,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499972,0
1.130,HOVER,0.002909,0.003801,0.000060,-0.007255,0.006464,0.000088,1.282664,1.151482,0.001770,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499963,0
1.230,HOVER,0.003380,0.003731,0.000033,0.004704,-0.000691,-0.000264,1.290716,1.117587,0.001180,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499992,0
1.332,HOVER,0.003173,0.003502,-0.000016,-0.002039,-0.002250,-0.000483,1.299148,1.129197,0.001413,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500038,0
1.431,HOVER,0.000066,0.000010,1.376312,-0.031376,-0.035265,13.897956,0.021119,-0.015489,-0.000818,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.876312,0
1.531,HOVER,0.000781,0.000830,0.000068,0.007112,0.008152,-13.691358,0.075240,0.250370,0.003814,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499933,0
1.631,HOVER,0.000771,0.002372,0.000128,-0.000100,0.015451,0.000599,0.318693,0.741870,0.002035,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499879,0
1.729,HOVER,0.002455,0.000567,0.000073,0.017268,-0.018510,-0.000564,1.005243,0.676378,-0.004003,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499934,0
1.830,HOVER,0.001005,0.000533,0.000050,-0.014346,-0.000331,-0.000220,1.127509,1.006175,-0.006983,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499951,0
1.927,HOVER,0.000898,0.000063,0.000037,-0.001100,-0.004841,-0.000141,1.234626,1.053748,-0.013721,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499964,0
2.026,HOVER,0.000529,0.000195,0.000023,-0.003718,0.001328,-0.000138,1.252872,1.104103,-0.013207,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499977,0
2.126,HOVER,0.000717,0.000126,0.000011,0.001901,-0.000700,-0.000121,1.273065,1.101309,-0.012742,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499990,0
2.231,HOVER,-0.000041,0.000866,0.000029,-0.007205,0.007029,0.000172,1.243733,1.150167,-0.010170,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499972,0
2.329,HOVER,0.001189,0.000064,0.000063,0.012568,-0.008192,0.000348,1.298681,1.081580,-0.012322,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499938,0
2.427,HOVER,0.000868,0.000691,0.000096,-0.003249,0.006354,0.000335,1.280047,1.098475,-0.012226,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499905,0
2.522,HOVER,0.000685,-0.000006,0.000121,-0.001933,-0.007362,0.000264,1.325524,1.108530,-0.010603,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499879,0
2.629,HOVER,0.000651,-0.000048,0.000052,-0.000323,-0.000391,-0.000649,1.335561,1.107015,-0.011643,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499948,0
2.729,HOVER,0.000152,0.000652,0.000064,-0.005010,0.007035,0.000123,1.310692,1.121609,-0.011168,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499936,0
2.829,HOVER,0.000611,-0.000077,0.000041,0.004550,-0.007228,-0.000228,1.339433,1.101197,-0.011859,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499959,0
2.929,HOVER,-0.002424,-0.000547,0.000029,-0.030347,-0.004701,-0.000120,1.358246,1.219198,-0.008896,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.499977,0
3.030,HOVER,0.000808,-0.010902,-0.000080,0.032022,-0.102588,-0.001084,1.688435,1.076261,-0.017837,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500200,0
