t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,solve_time_ms
0.124,HOVER,-7.186960,-1.954112,-0.010980,0.000000,0.000000,0.000000,-0.722748,1.245552,-6.671984,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.465390,0
0.223,HOVER,-7.187561,-1.954365,-0.007626,-0.006068,-0.002556,0.033881,-0.706971,1.277974,-6.600418,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.465806,0
0.326,HOVER,-7.187256,-1.954371,-0.008713,0.002941,-0.000049,-0.010500,-0.711991,1.268028,-6.531929,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.465588,0
0.423,HOVER,-7.186478,-1.953579,-0.009770,0.008061,0.008198,-0.010944,-0.748028,1.247012,-6.468787,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464704,0
0.526,HOVER,-7.186656,-1.953717,-0.011220,-0.001719,-0.001339,-0.014053,-0.742532,1.267266,-6.403694,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.465010,0
0.624,HOVER,-7.186922,-1.953171,-0.007774,-0.002712,0.005554,0.035064,-0.762952,1.289031,-6.337420,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464889,0
0.724,HOVER,-7.188002,-1.953189,-0.009099,-0.010866,-0.000178,-0.013341,-0.755073,1.337631,-6.270580,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.466023,0
0.826,HOVER,-7.186425,-1.953173,-0.010211,0.015377,0.000156,-0.010846,-0.764884,1.264220,-6.209714,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464576,0
0.924,HOVER,-7.186654,-1.953669,-0.012057,-0.002347,-0.005072,-0.018893,-0.739909,1.285209,-6.145324,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.465053,0
1.021,HOVER,-7.186207,-1.954072,-0.008114,0.004606,-0.004158,0.040654,-0.713793,1.257149,-6.077764,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464459,0
1.124,HOVER,-7.186032,-1.953143,-0.009722,0.001705,0.009030,-0.015629,-0.756180,1.263948,-6.020620,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464157,0
1.222,HOVER,-7.186049,-1.953751,-0.010944,-0.000175,-0.006202,-0.012454,-0.732781,1.265664,-5.955593,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464416,0
1.326,HOVER,-7.185918,-1.953483,-0.012112,0.001253,0.002563,-0.011172,-0.741943,1.260514,-5.896960,0.000,0.000,0.500,0,0,0,0,0,0,0,0,7.464300,0
1.425,HOVER,-0.000092,-0.000078,-0.000158,73.047127,19.857239,0.121518,-0.012197,0.143840,-0.000781,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.500158,0
1.524,HOVER,-0.000343,-0.000794,-0.003320,-0.002522,-0.007214,-0.031844,-0.215387,0.627066,0.001318,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.503320,0
1.622,HOVER,0.001472,-0.001666,-0.008135,0.018615,-0.008949,-0.049394,-0.351689,0.616892,-0.000697,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.508140,0
1.724,HOVER,0.001522,-0.000565,-0.006681,0.000488,0.010698,0.014124,-0.704382,0.917585,0.006420,0.000,0.000,0.500,0,0,0,0,0,0,0,0,0.506683,0
