# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.130	0.269	0.166	0.000	-0.23	-3.63	-0.37
0.236	0.270	0.164	0.000	-0.18	-3.71	-0.39
0.331	0.271	0.164	0.000	-0.21	-3.69	-0.39
0.430	0.271	0.163	0.000	-0.21	-3.63	-0.39
0.535	0.272	0.165	0.000	-0.27	-3.66	-0.38
0.633	0.273	0.166	0.000	-0.32	-3.63	-0.37
0.732	0.274	0.162	0.000	-0.11	-3.65	-0.40
0.833	0.273	0.163	0.000	-0.21	-3.61	-0.39
0.936	0.275	0.162	0.000	-0.21	-3.58	-0.39
1.035	0.284	0.159	0.000	-0.19	-3.82	-0.41
1.133	0.284	0.159	0.000	-0.26	-3.68	-0.39
1.232	0.286	0.164	0.000	-0.47	-3.69	-0.37
1.330	0.287	0.170	0.000	-0.54	-3.62	-0.36
1.433	0.283	0.169	0.000	-0.31	-3.39	-0.44
1.531	0.285	0.160	0.000	0.02	-3.54	-0.52
1.637	-0.000	-0.000	-0.000	0.00	0.00	-0.00
1.734	-0.002	-0.000	0.000	0.03	-0.59	-0.00
1.838	-0.000	-0.004	0.001	0.68	-2.38	0.01
1.937	-0.005	-0.005	0.001	0.25	-2.34	-0.01
2.036	-0.001	-0.007	0.000	0.15	-3.26	-0.02
2.130	-0.004	-0.008	0.000	0.01	-3.18	-0.03
2.228	-0.003	-0.009	0.000	-0.11	-3.43	-0.05
2.332	-0.004	-0.008	0.000	-0.25	-3.46	-0.06
2.431	-0.004	-0.007	0.000	-0.34	-3.51	-0.08
2.530	-0.003	-0.007	0.000	-0.33	-3.57	-0.08
2.629	-0.004	-0.006	0.000	-0.37	-3.55	-0.09
2.733	-0.004	-0.007	0.000	-0.30	-3.61	-0.08
2.831	0.001	-0.010	0.000	-0.22	-3.77	-0.07
2.930	0.002	-0.011	0.000	-0.23	-3.76	-0.07
3.034	0.003	-0.012	0.000	-0.24	-3.71	-0.07
3.133	0.003	-0.010	0.000	-0.32	-3.65	-0.09
3.231	0.002	-0.008	0.000	-0.36	-3.58	-0.10
3.330	-0.009	-0.016	0.000	-0.02	-3.21	-0.08
3.429	-0.002	-0.010	0.000	-0.35	-3.67	-0.10
3.532	-0.003	-0.011	0.000	-0.31	-3.60	-0.10
3.630	-0.007	-0.012	0.000	-0.29	-3.42	-0.10
3.731	-0.006	-0.015	0.000	-0.14	-3.55	-0.10
3.833	-0.007	-0.016	0.000	-0.17	-3.52	-0.11
3.932	-0.003	-0.016	-0.000	-0.20	-3.44	-0.45
4.037	0.004	-0.006	0.000	-0.60	-2.99	-0.60
4.134	0.008	-0.000	0.002	-0.56	-0.59	-0.63
4.232	0.056	-0.007	-0.001	-0.13	3.91	-1.35
4.330	0.077	-0.016	-0.000	-0.03	9.73	-1.77
4.429	0.070	-0.020	-0.001	-0.68	8.00	-1.81
4.531	0.090	-0.020	0.002	-0.93	3.52	-1.69
4.631	0.089	-0.019	0.004	-0.86	3.02	-1.78
4.732	0.088	-0.015	0.013	-0.25	0.25	-2.08
4.827	0.049	-0.017	0.027	1.02	-0.96	-2.58
4.980	0.005	-0.021	0.083	-0.84	-3.39	-2.45
5.030	-0.017	-0.021	0.110	0.58	-5.84	-3.14
5.127	-0.030	-0.022	0.118	-0.92	-4.44	-4.13
5.231	-0.036	-0.021	0.108	-0.33	-3.31	-4.39
5.331	-0.036	-0.021	0.109	-0.79	-0.98	-4.26
5.430	-0.035	-0.020	0.117	0.22	0.69	-4.55
5.526	-0.036	-0.016	0.129	0.10	0.68	-4.62
5.632	-0.038	-0.022	0.145	0.92	0.50	-4.32
5.730	-0.035	-0.022	0.177	0.18	0.04	-3.86
5.830	-0.044	-0.015	0.213	-0.31	0.23	-3.33
5.929	-0.039	-0.018	0.253	0.21	-0.82	-2.74
6.049	-0.038	-0.024	0.292	0.15	-0.45	-2.39
6.128	-0.032	-0.033	0.326	0.06	-0.37	-2.31
6.226	-0.026	-0.035	0.356	-0.39	0.20	-2.23
6.331	-0.022	-0.038	0.387	-0.20	0.41	-2.26
6.431	-0.010	-0.049	0.416	-0.25	0.56	-2.31
6.528	-0.008	-0.057	0.443	-0.51	0.68	-2.22
6.630	0.002	-0.056	0.466	-0.66	0.64	-2.07
6.729	0.000	-0.052	0.487	-0.52	0.63	-1.71
6.828	-0.009	-0.051	0.503	-0.22	0.44	-1.23
6.931	-0.013	-0.049	0.519	0.10	-0.04	-0.66
7.030	-0.023	-0.048	0.528	0.18	-0.54	-0.18
7.128	-0.030	-0.048	0.530	0.20	-0.73	0.14
7.230	-0.032	-0.054	0.537	0.11	-0.91	0.32
7.331	-0.029	-0.054	0.543	-0.07	-0.54	0.34
7.429	-0.027	-0.067	0.547	-0.15	-0.37	0.25
7.529	-0.019	-0.071	0.549	-0.36	0.09	0.01
7.628	-0.013	-0.077	0.548	-0.44	0.38	-0.30
7.730	-0.009	-0.086	0.547	-0.46	0.45	-0.62
7.829	-0.005	-0.084	0.549	-0.47	0.53	-0.86
7.931	-0.002	-0.085	0.550	-0.28	0.31	-0.99
8.027	-0.003	-0.085	0.552	-0.09	0.21	-1.04
8.127	-0.007	-0.079	0.551	0.11	-0.04	-0.99
8.229	-0.006	-0.072	0.551	0.20	-0.16	-0.88
