# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.131	0.260	0.003	-0.000	0.52	-3.57	-9.11
0.230	0.260	0.003	-0.000	0.46	-3.56	-9.02
0.330	0.258	0.000	-0.000	0.54	-3.45	-8.93
0.429	0.259	0.000	-0.000	0.44	-3.50	-8.84
0.529	0.259	0.001	-0.000	0.38	-3.49	-8.75
0.628	0.259	0.002	-0.000	0.26	-3.46	-8.65
0.729	0.260	0.011	-0.000	-0.02	-3.45	-8.54
0.826	0.258	0.002	0.000	0.52	-3.43	-8.51
0.929	0.258	0.002	0.000	0.48	-3.50	-8.42
1.028	0.257	0.004	0.000	0.27	-3.44	-8.31
1.130	0.257	0.001	0.000	0.37	-3.46	-8.24
1.230	0.258	0.000	-0.000	0.37	-3.51	-8.16
1.330	0.258	0.003	-0.000	0.24	-3.49	-8.06
1.425	-0.000	0.000	-0.000	-0.00	-0.00	0.00
1.529	-0.003	0.001	-0.000	-0.08	-0.05	0.00
1.627	-0.003	-0.001	-0.000	0.40	-1.74	0.01
1.730	-0.004	0.000	-0.000	0.32	-2.28	0.01
1.826	-0.003	-0.000	-0.000	0.45	-2.88	0.03
1.929	-0.001	-0.000	-0.000	0.41	-3.27	0.03
2.028	0.000	0.007	-0.000	0.03	-3.37	-0.00
2.127	0.002	0.007	-0.000	0.17	-3.48	0.02
2.229	0.003	0.006	-0.000	0.30	-3.47	0.04
2.328	0.006	0.007	-0.000	0.31	-3.57	0.03
2.432	0.006	0.009	-0.000	0.27	-3.51	0.03
2.526	0.005	0.008	-0.000	0.33	-3.45	0.04
2.628	0.004	0.008	-0.000	0.32	-3.39	0.04
2.726	0.004	0.008	-0.000	0.32	-3.39	0.05
2.824	0.005	0.008	-0.000	0.33	-3.42	0.05
2.927	0.005	0.012	-0.000	0.18	-3.43	0.04
3.025	0.005	0.007	-0.000	0.41	-3.44	0.05
3.129	0.004	0.010	-0.000	0.26	-3.40	0.04
3.227	0.005	0.007	-0.000	0.37	-3.45	0.05
3.328	0.004	0.008	-0.000	0.33	-3.42	0.05
3.424	0.006	0.007	-0.000	0.34	-3.49	0.05
3.529	0.005	0.012	-0.000	0.17	-3.46	0.04
3.629	0.005	0.003	-0.000	0.43	-3.45	0.02
3.727	0.023	-0.008	0.001	0.72	-3.79	-0.19
3.825	0.039	-0.010	0.004	0.57	-3.18	-0.33
3.925	0.031	-0.007	0.005	0.17	0.52	0.54
4.028	0.048	0.000	0.003	-1.47	5.62	1.38
4.126	0.062	-0.008	0.002	-2.67	7.74	1.26
4.226	0.070	-0.008	0.001	-1.49	5.00	0.42
4.327	0.024	-0.008	-0.002	-1.88	5.22	-0.34
4.428	0.005	-0.009	0.012	-0.55	-2.52	-1.02
4.528	0.005	0.004	0.031	-1.07	-5.30	-1.30
4.623	-0.009	0.013	0.053	0.84	-2.89	-1.73
4.729	-0.011	0.009	0.066	1.21	-1.49	-1.61
4.827	-0.009	0.012	0.072	0.18	0.04	-1.58
4.928	-0.002	0.011	0.093	0.11	0.33	-1.67
5.026	0.003	0.011	0.104	0.05	1.18	-1.86
5.128	0.006	0.009	0.109	0.10	0.89	-2.06
5.228	0.007	0.006	0.125	-0.04	0.55	-2.06
5.328	0.008	0.005	0.147	-0.16	0.45	-1.92
5.427	-0.002	-0.001	0.170	-0.04	0.14	-1.72
5.526	-0.007	-0.003	0.202	-0.32	-0.61	-1.35
5.624	-0.006	-0.004	0.238	-0.40	-0.79	-0.82
5.723	-0.006	-0.005	0.270	-0.36	-0.55	-0.21
5.826	-0.001	-0.002	0.302	-0.38	-0.21	0.36
5.925	0.005	-0.000	0.337	0.00	0.04	0.88
6.023	0.010	0.001	0.372	0.43	0.56	1.21
6.126	0.013	-0.000	0.403	0.33	0.59	1.34
6.224	0.015	-0.001	0.429	0.36	0.57	1.25
6.323	0.016	-0.011	0.452	0.37	0.36	1.10
6.427	0.015	-0.012	0.469	-0.16	0.28	0.87
6.524	0.018	-0.022	0.499	-0.17	0.03	0.53
6.626	0.014	-0.026	0.524	-0.55	0.03	0.15
6.725	0.014	-0.028	0.539	-0.29	-0.35	-0.22
6.826	0.012	-0.027	0.551	-0.40	-0.32	-0.36
6.926	0.001	-0.022	0.557	-0.41	-0.31	-0.29
7.027	0.001	-0.019	0.551	0.01	-0.36	-0.05
7.126	-0.001	-0.017	0.548	0.12	-0.29	0.23
7.225	-0.004	-0.017	0.545	0.11	-0.27	0.48
7.323	-0.008	-0.015	0.547	0.25	-0.19	0.70
7.427	-0.005	-0.017	0.546	0.20	-0.15	0.83
7.525	-0.003	-0.019	0.550	0.12	-0.03	0.91
7.624	-0.001	-0.025	0.551	-0.03	0.10	0.93
7.727	-0.004	-0.030	0.549	-0.14	0.14	0.82
7.826	-0.004	-0.034	0.548	-0.19	-0.04	0.66
7.925	-0.004	-0.039	0.546	-0.30	-0.04	0.49
8.026	-0.008	-0.040	0.541	-0.24	-0.13	0.31
8.123	-0.007	-0.039	0.546	-5.97	-0.30	0.12
8.224	-0.007	-0.031	0.564	-11.69	0.78	0.18
8.324	-0.021	-0.000	0.564	-9.47	1.98	0.14
8.427	-0.031	0.035	0.557	-7.35	3.38	-0.13
8.526	-0.035	0.084	0.550	-3.53	3.82	-0.66
8.623	-0.045	0.115	0.552	-0.36	4.32	-1.27
8.726	-0.053	0.159	0.556	1.86	4.23	-1.68
8.824	-0.082	0.206	0.555	2.79	4.18	-1.86
8.924	-0.102	0.251	0.554	3.40	3.78	-1.77
9.022	-0.149	0.291	0.550	3.71	3.38	-1.61
9.125	-0.190	0.318	0.543	3.72	2.90	-1.63
9.223	-0.233	0.339	0.537	3.53	2.45	-1.68
9.326	-0.282	0.358	0.538	3.50	2.14	-1.76
9.426	-0.331	0.361	0.539	3.40	1.44	-1.88
9.524	-0.384	0.363	0.539	3.28	1.05	-1.73
9.623	-0.430	0.360	0.541	3.85	0.49	-1.16
9.722	-0.490	0.359	0.545	4.18	0.12	-0.56
9.822	-0.540	0.356	0.549	4.52	-0.78	-0.10
9.922	-0.598	0.341	0.550	4.59	-1.31	-0.10
10.023	-0.649	0.318	0.551	5.02	-2.25	0.02
10.125	-0.691	0.292	0.551	4.51	-2.24	0.06
10.225	-0.738	0.248	0.547	4.08	-2.58	0.11
10.325	-0.771	0.218	0.542	3.97	-3.48	0.14
10.424	-0.795	0.176	0.539	3.51	-3.54	0.22
10.561	-0.812	0.128	0.536	2.23	-3.49	0.39
10.625	-0.823	0.079	0.532	1.10	-3.21	0.37
10.723	-0.837	0.029	0.531	0.60	-3.92	0.22
10.825	-0.842	-0.018	0.536	0.50	-4.69	0.10
10.923	-0.843	-0.062	0.541	0.51	-4.64	0.01
11.022	-0.839	-0.106	0.543	0.24	-4.88	-0.13
11.120	-0.828	-0.149	0.543	0.11	-4.29	-0.27
11.224	-0.814	-0.191	0.540	-0.60	-4.36	-0.43
11.324	-0.787	-0.242	0.537	-1.05	-4.29	-0.49
11.423	-0.763	-0.280	0.533	-2.14	-4.02	-0.48
11.522	-0.737	-0.317	0.534	-2.35	-3.63	-0.25
11.621	-0.701	-0.350	0.532	-3.12	-3.68	0.08
11.724	-0.657	-0.381	0.530	-3.88	-3.33	0.37
11.822	-0.605	-0.402	0.531	-4.24	-2.85	0.50
11.929	-0.552	-0.428	0.528	-4.56	-2.10	0.47
12.024	-0.510	-0.427	0.526	-4.75	-1.10	0.33
12.124	-0.469	-0.427	0.527	-4.66	-0.63	0.22
