# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.141	0.102	-0.006	0.000	0.45	5.09	0.06
0.230	0.100	-0.005	0.000	0.47	5.22	0.06
0.330	0.093	-0.012	0.000	0.70	5.58	0.06
0.430	0.087	-0.007	-0.000	0.45	5.63	0.06
0.530	0.076	-0.001	0.000	0.28	5.76	0.08
0.630	0.066	-0.001	0.000	0.42	5.82	0.06
0.732	0.069	-0.000	0.000	0.43	5.40	0.07
0.831	0.067	0.000	0.000	0.47	5.31	0.07
0.933	0.061	0.007	0.000	0.30	5.36	0.07
1.032	0.049	-0.002	-0.000	0.69	5.62	0.06
1.132	0.056	-0.000	0.000	0.56	5.14	0.06
1.233	0.048	-0.007	-0.000	0.77	5.35	0.07
1.332	0.039	-0.003	-0.000	0.49	5.43	0.07
1.429	0.000	0.000	-0.000	0.02	-0.02	0.00
1.528	0.006	0.003	0.000	-0.71	0.53	0.01
1.627	0.007	0.005	0.001	0.04	2.83	-0.01
1.731	0.005	0.006	0.000	0.17	4.21	-0.02
1.829	-0.025	-0.007	-0.001	1.45	7.27	-0.13
1.930	-0.025	-0.004	0.000	0.86	6.18	-0.05
2.031	-0.017	-0.006	0.000	0.77	5.27	-0.05
2.133	-0.021	-0.002	0.000	0.53	5.31	0.00
2.230	-0.022	-0.003	0.000	0.50	5.25	0.01
2.328	-0.015	-0.004	0.000	0.53	4.96	0.00
2.431	-0.001	0.001	-0.000	0.34	4.54	0.03
2.532	0.002	0.005	0.000	0.22	4.65	0.04
2.631	0.002	0.004	0.000	0.35	4.89	0.02
2.728	0.008	0.017	0.000	0.04	4.88	0.05
2.831	0.005	0.019	0.000	0.11	5.15	0.04
2.928	-0.009	0.019	0.000	0.33	5.75	-0.01
3.027	0.000	0.018	0.001	0.45	5.27	-0.00
3.129	-0.005	0.022	0.000	0.43	5.42	-0.01
3.231	-0.006	0.023	0.000	0.42	5.34	-0.01
3.328	-0.002	0.019	0.000	0.66	5.22	-0.03
3.426	0.007	0.012	0.000	0.83	4.87	-0.05
3.527	0.009	0.010	0.000	0.79	4.97	-0.04
3.627	0.007	0.015	0.000	0.49	5.06	-0.03
3.730	0.006	0.015	0.001	0.40	4.76	-0.19
3.829	0.007	0.014	0.001	0.35	4.01	-0.64
3.931	0.015	0.009	0.002	0.55	0.19	-1.29
4.031	0.022	0.003	0.002	-1.05	-2.79	-2.85
4.128	0.024	0.005	0.001	-3.19	-3.17	-3.11
4.231	0.007	0.016	0.002	-0.56	-1.03	-2.65
4.330	-0.006	0.010	0.002	-0.44	-1.73	-2.09
4.430	-0.034	0.005	0.003	-0.72	-1.65	-1.77
4.528	-0.047	0.002	0.033	-0.43	-2.97	-1.19
