# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
48.280	-0.013	0.011	0.500	-0.18	-0.51	-0.37
48.288	-0.013	0.012	0.500	-0.18	-0.51	-0.37
48.296	-0.013	0.014	0.500	-0.18	-0.51	-0.37
48.304	-0.014	0.016	0.500	-0.17	-0.51	-0.37
48.312	-0.014	0.017	0.500	-0.17	-0.51	-0.37
48.320	-0.014	0.019	0.500	-0.17	-0.51	-0.37
48.328	-0.014	0.021	0.500	-0.17	-0.51	-0.37
48.336	-0.014	0.022	0.500	-0.17	-0.51	-0.37
48.344	-0.014	0.024	0.500	-0.17	-0.51	-0.37
48.352	-0.014	0.025	0.500	-0.16	-0.51	-0.37
48.360	-0.014	0.027	0.500	-0.16	-0.51	-0.37
48.368	-0.014	0.029	0.500	-0.16	-0.51	-0.37
48.376	-0.014	0.030	0.500	-0.16	-0.52	-0.37
48.384	-0.014	0.032	0.500	-0.16	-0.52	-0.37
48.392	-0.014	0.034	0.500	-0.15	-0.52	-0.37
48.400	-0.015	0.035	0.500	-0.15	-0.52	-0.37
48.408	-0.015	0.037	0.500	-0.15	-0.52	-0.37
48.416	-0.015	0.039	0.500	-0.15	-0.52	-0.37
48.424	-0.015	0.040	0.500	-0.15	-0.52	-0.37
48.432	-0.015	0.042	0.500	-0.15	-0.52	-0.37
48.440	-0.015	0.043	0.500	-0.14	-0.52	-0.37
48.448	-0.015	0.045	0.500	-0.14	-0.52	-0.37
48.456	-0.016	0.047	0.500	-0.14	-0.52	-0.37
48.464	-0.016	0.048	0.500	-0.14	-0.52	-0.37
48.472	-0.016	0.050	0.500	-0.14	-0.52	-0.37
48.480	-0.016	0.052	0.500	-0.14	-0.52	-0.37
48.488	-0.016	0.053	0.500	-0.13	-0.52	-0.37
48.496	-0.016	0.055	0.500	-0.13	-0.52	-0.37
48.504	-0.017	0.057	0.500	-0.13	-0.52	-0.37
48.512	-0.017	0.058	0.500	-0.13	-0.52	-0.37
48.520	-0.017	0.060	0.500	-0.13	-0.52	-0.37
48.528	-0.017	0.061	0.500	-0.13	-0.52	-0.37
48.536	-0.017	0.063	0.500	-0.12	-0.52	-0.37
48.544	-0.018	0.065	0.500	-0.12	-0.52	-0.37
48.552	-0.018	0.066	0.500	-0.12	-0.53	-0.37
48.560	-0.018	0.068	0.500	-0.12	-0.53	-0.37
48.568	-0.018	0.070	0.500	-0.12	-0.53	-0.37
48.576	-0.019	0.071	0.500	-0.11	-0.53	-0.37
48.584	-0.019	0.073	0.500	-0.11	-0.53	-0.37
48.592	-0.019	0.075	0.500	-0.11	-0.53	-0.37
48.600	-0.019	0.076	0.500	-0.11	-0.53	-0.37
48.608	-0.020	0.078	0.500	-0.11	-0.53	-0.37
48.616	-0.020	0.079	0.500	-0.11	-0.53	-0.37
48.624	-0.020	0.081	0.500	-0.10	-0.53	-0.37
48.632	-0.020	0.083	0.500	-0.10	-0.53	-0.37
48.640	-0.021	0.084	0.500	-0.10	-0.53	-0.37
48.648	-0.021	0.086	0.500	-0.10	-0.53	-0.37
48.656	-0.021	0.087	0.500	-0.10	-0.53	-0.37
48.664	-0.022	0.089	0.500	-0.10	-0.53	-0.37
48.672	-0.022	0.091	0.500	-0.09	-0.53	-0.37
48.680	-0.022	0.092	0.500	-0.09	-0.53	-0.37
48.688	-0.022	0.094	0.500	-0.09	-0.53	-0.37
48.696	-0.023	0.096	0.500	-0.09	-0.53	-0.37
48.704	-0.023	0.097	0.500	-0.09	-0.53	-0.37
48.712	-0.023	0.099	0.500	-0.08	-0.53	-0.37
48.720	-0.024	0.100	0.500	-0.08	-0.53	-0.37
48.728	-0.024	0.102	0.500	-0.08	-0.53	-0.37
48.736	-0.024	0.104	0.500	-0.08	-0.53	-0.37
48.744	-0.025	0.105	0.500	-0.08	-0.53	-0.37
48.752	-0.025	0.107	0.500	-0.08	-0.53	-0.37
48.760	-0.026	0.108	0.500	-0.07	-0.53	-0.37
48.768	-0.026	0.110	0.500	-0.07	-0.53	-0.37
48.776	-0.026	0.112	0.500	-0.07	-0.53	-0.37
48.784	-0.027	0.113	0.500	-0.07	-0.53	-0.37
48.792	-0.027	0.115	0.500	-0.07	-0.53	-0.37
48.800	-0.027	0.116	0.500	-0.06	-0.53	-0.37
