# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
9.280	0.000	0.000	1.002	0.00	0.00	0.00
9.288	0.000	0.000	1.002	0.00	0.00	0.00
9.296	0.000	0.000	1.002	0.00	0.00	0.00
9.304	0.000	0.000	1.002	0.00	0.00	0.00
9.312	0.000	0.000	1.002	0.00	0.00	0.00
9.320	0.000	0.000	1.002	0.00	0.00	0.00
9.328	0.000	0.000	1.002	0.00	0.00	0.00
9.336	0.000	0.000	1.002	0.00	0.00	0.00
9.344	0.000	0.000	1.002	0.00	0.00	0.00
9.352	0.000	0.000	1.002	0.00	0.00	0.00
9.360	0.000	0.000	1.002	0.00	0.00	0.00
9.368	0.000	0.000	1.002	0.00	0.00	0.00
9.376	0.000	0.000	1.002	0.00	0.00	0.00
9.384	0.000	0.000	1.002	0.00	0.00	0.00
9.392	0.000	0.000	1.002	0.00	0.00	0.00
9.400	0.000	0.000	1.002	0.00	0.00	0.00
9.408	0.000	0.000	1.002	0.00	0.00	0.00
9.416	0.000	0.000	1.002	0.00	0.00	0.00
9.424	0.000	0.000	1.002	0.00	0.00	0.00
9.432	0.000	0.000	1.002	0.00	0.00	0.00
9.440	0.000	0.000	1.002	0.00	0.00	0.00
9.448	0.000	0.000	1.002	0.00	0.00	0.00
9.456	0.000	0.000	1.002	0.00	0.00	0.00
9.464	0.000	0.000	1.002	0.00	0.00	0.00
9.472	0.000	0.000	1.002	0.00	0.00	0.00
9.480	0.000	0.000	1.002	0.00	0.00	0.00
9.488	0.000	0.000	1.002	0.00	0.00	0.00
9.496	0.000	0.000	1.002	0.00	0.00	0.00
9.504	0.000	0.000	1.002	0.00	0.00	0.00
9.512	0.000	0.000	1.002	0.00	0.00	0.00
9.520	0.000	0.000	1.002	0.00	0.00	0.00
9.528	0.000	0.000	1.002	0.00	0.00	0.00
9.536	0.000	0.000	1.002	0.00	0.00	0.00
9.544	0.000	0.000	1.002	0.00	0.00	0.00
9.552	0.000	0.000	1.002	0.00	0.00	0.00
9.560	0.000	0.000	1.003	0.00	0.00	0.00
9.568	0.000	0.000	1.003	0.00	0.00	0.00
9.576	0.000	0.000	1.003	0.00	0.00	0.00
9.584	0.000	0.000	1.003	0.00	0.00	0.00
9.592	0.000	0.000	1.003	0.00	0.00	0.00
9.600	0.000	0.000	1.003	0.00	0.00	0.00
9.608	0.000	0.000	1.003	0.00	0.00	0.00
9.616	0.000	0.000	1.003	0.00	0.00	0.00
